KEGG_ID	Taxonomy_type	Class_I	Class_II	Description
K22400	Eukaryotic type	Basic helix-loop-helix (bHLH)	Tal/Twist/Atonal/Hen, Mesodermal Twist-like factors	FERD3L; Fer3-like protein
K09074	Eukaryotic type	Basic helix-loop-helix (bHLH)	Tal/Twist/Atonal/Hen, Mesodermal Twist-like factors	TYE7; fungal twist-like factor
K09075	Eukaryotic type	Basic helix-loop-helix (bHLH)	Tal/Twist/Atonal/Hen, HEN	NHLH, HEN, NSCL; nescient helix-loop-helix protein
K09076	Eukaryotic type	Basic helix-loop-helix (bHLH)	Tal/Twist/Atonal/Hen, Mesp	MESP; mesoderm posterior
K09077	Eukaryotic type	Basic helix-loop-helix (bHLH)	Tal/Twist/Atonal/Hen, Mesp	MSGN1; mesogenin 1
K08033	Eukaryotic type	Basic helix-loop-helix (bHLH)	Tal/Twist/Atonal/Hen, Atonal	NEUROD1; neurogenic differentiation factor 1
K09078	Eukaryotic type	Basic helix-loop-helix (bHLH)	Tal/Twist/Atonal/Hen, Atonal	NEUROD2; neurogenic differentiation factor 2
K09079	Eukaryotic type	Basic helix-loop-helix (bHLH)	Tal/Twist/Atonal/Hen, Atonal	NEUROD4, ATOH3, MATH3; neurogenic differentiation factor 4
K09080	Eukaryotic type	Basic helix-loop-helix (bHLH)	Tal/Twist/Atonal/Hen, Atonal	NEUROD6, ATOH2, MATH2; neurogenic differentiation factor 6
K09081	Eukaryotic type	Basic helix-loop-helix (bHLH)	Tal/Twist/Atonal/Hen, Atonal	NEUROG1; neurogenin 1
K09082	Eukaryotic type	Basic helix-loop-helix (bHLH)	Tal/Twist/Atonal/Hen, Atonal	NEUROG2; neurogenin 2
K08028	Eukaryotic type	Basic helix-loop-helix (bHLH)	Tal/Twist/Atonal/Hen, Atonal	NEUROG3; neurogenin 3
K09083	Eukaryotic type	Basic helix-loop-helix (bHLH)	Tal/Twist/Atonal/Hen, Atonal	ATOH1_7; atonal protein 1/7
K09084	Eukaryotic type	Basic helix-loop-helix (bHLH)	Tal/Twist/Atonal/Hen, Atonal	ATOH8; atonal protein 8
K24145	Eukaryotic type	Basic helix-loop-helix (bHLH)	Tal/Twist/Atonal/Hen, Atonal	BHLHA9; class A basic helix-loop-helix protein 9
K09085	Eukaryotic type	Basic helix-loop-helix (bHLH)	Tal/Twist/Atonal/Hen, Atonal	BHLHB1_6_7; class B basic helix-loop-helix protein 1/6/7
K08040	Eukaryotic type	Basic helix-loop-helix (bHLH)	Tal/Twist/Atonal/Hen, Atonal	BHLHB8, MIST1; class B basic helix-loop-helix protein 8
K09086	Eukaryotic type	Basic helix-loop-helix (bHLH)	Tal/Twist/Atonal/Hen, Pancreatic factors	BHLHB4_5, BETA; class B basic helix-loop-helix protein 4/5
K06054	Eukaryotic type	Basic helix-loop-helix (bHLH)	Hairy, Hairy/E(SPL)	HES1; hairy and enhancer of split 1
K09087	Eukaryotic type	Basic helix-loop-helix (bHLH)	Hairy, Hairy/E(SPL)	HES2_6_7; hairy and enhancer of split 2/6/7
K09088	Eukaryotic type	Basic helix-loop-helix (bHLH)	Hairy, Hairy/E(SPL)	HES3; hairy and enhancer of split 3
K09089	Eukaryotic type	Basic helix-loop-helix (bHLH)	Hairy, Hairy/E(SPL)	HES4; hairy and enhancer of split 4
K06055	Eukaryotic type	Basic helix-loop-helix (bHLH)	Hairy, Hairy/E(SPL)	HES5; hairy and enhancer of split 5
K09090	Eukaryotic type	Basic helix-loop-helix (bHLH)	Hairy, Hairy/E(SPL)	HESN; hairy and enhancer of split, invertebrate
K09091	Eukaryotic type	Basic helix-loop-helix (bHLH)	Hairy, Hairy/E(SPL)	HEY; hairy and enhancer of split related with YRPW motif
K03729	Eukaryotic type	Basic helix-loop-helix (bHLH)	Hairy, Hairy/E(SPL)	BHLHB2, DEC1; class B basic helix-loop-helix protein 2
K03730	Eukaryotic type	Basic helix-loop-helix (bHLH)	Hairy, Hairy/E(SPL)	BHLHB3, DEC2; class B basic helix-loop-helix protein 3
K09092	Eukaryotic type	Basic helix-loop-helix (bHLH)	Hairy, Hairy/E(SPL)	TCFL5, CHA; transcription factor-like 5
K06658	Eukaryotic type	Basic helix-loop-helix (bHLH)	Hairy, Fungal regulators	PHO4; phosphate system positive regulatory protein PHO4
K06654	Eukaryotic type	Basic helix-loop-helix (bHLH)	Hairy, Fungal regulators	PHO80; phosphate system cyclin PHO80
K09093	Eukaryotic type	Basic helix-loop-helix (bHLH)	Factors with PAS domain	AHR; aryl hydrocarbon receptor
K09094	Eukaryotic type	Basic helix-loop-helix (bHLH)	Factors with PAS domain	AHRR, AHH; aryl hydrocarbon receptor repressor
K08268	Eukaryotic type	Basic helix-loop-helix (bHLH)	Factors with PAS domain	HIF1A; hypoxia-inducible factor 1 alpha
K09095	Eukaryotic type	Basic helix-loop-helix (bHLH)	Factors with PAS domain	HIF2A, EPAS1; hypoxia-inducible factor 2 alpha
K09096	Eukaryotic type	Basic helix-loop-helix (bHLH)	Factors with PAS domain	HIF3A; hypoxia-inducible factor 3 alpha
K09097	Eukaryotic type	Basic helix-loop-helix (bHLH)	Factors with PAS domain	ARNT; aryl hydrocarbon receptor nuclear translocator
K15589	Eukaryotic type	Basic helix-loop-helix (bHLH)	Factors with PAS domain	ARNT2; aryl hydrocarbon receptor nuclear translocator 2
K09098	Eukaryotic type	Basic helix-loop-helix (bHLH)	Factors with PAS domain	NPAS1_3; neuronal PAS domain-containing protein 1/3
K09026	Eukaryotic type	Basic helix-loop-helix (bHLH)	Factors with PAS domain	NPAS2; neuronal PAS domain-containing protein 2
K26457	Eukaryotic type	Basic helix-loop-helix (bHLH)	Factors with PAS domain	NPAS4; neuronal PAS domain-containing protein 4
K02223	Eukaryotic type	Basic helix-loop-helix (bHLH)	Factors with PAS domain	CLOCK, KAT13D; circadian locomoter output cycles kaput protein [EC:2.3.1.48]
K02296	Eukaryotic type	Basic helix-loop-helix (bHLH)	Factors with PAS domain	ARNTL, BMAL1, CYC; aryl hydrocarbon receptor nuclear translocator-like protein 1
K09099	Eukaryotic type	Basic helix-loop-helix (bHLH)	Factors with PAS domain	ARNTL2, BMAL2; aryl hydrocarbon receptor nuclear translocator-like protein 2
K09100	Eukaryotic type	Basic helix-loop-helix (bHLH)	Factors with PAS domain	SIM; single-minded
K25796	Eukaryotic type	Basic helix-loop-helix (bHLH)	Yabby	YAB; plant-specific transcription factor YABBY family protein
K09102	Eukaryotic type	Basic helix-loop-helix (bHLH)	INO	INO; heteromeric Ino2p/Ino4p transcription factor
K04680	Eukaryotic type	Basic helix-loop-helix (bHLH)	HLH domain only	ID1; DNA-binding protein inhibitor ID1
K17693	Eukaryotic type	Basic helix-loop-helix (bHLH)	HLH domain only	ID2; DNA-binding protein inhibitor ID2
K17694	Eukaryotic type	Basic helix-loop-helix (bHLH)	HLH domain only	ID3; DNA-binding protein inhibitor ID3
K17695	Eukaryotic type	Basic helix-loop-helix (bHLH)	HLH domain only	ID4; DNA-binding protein inhibitor ID4
K17696	Eukaryotic type	Basic helix-loop-helix (bHLH)	HLH domain only	EMC; DNA-binding protein inhibitor ID, other
K09103	Eukaryotic type	Basic helix-loop-helix (bHLH)	HLH domain only	EBF, COE; early B-cell factor
K21626	Eukaryotic type	Basic helix-loop-helix (bHLH)	HLH domain only	CCNDBP1, DIP1, GCIP; cyclin-D1-binding protein 1
K22495	Eukaryotic type	Basic helix-loop-helix (bHLH)	HLH domain only	SOHLH1; spermatogenesis- and oogenesis-specific basic helix-loop-helix-containing protein 1
K12126	Eukaryotic type	Basic helix-loop-helix (bHLH)	HLH domain only	PIF3; phytochrome-interacting factor 3
K16189	Eukaryotic type	Basic helix-loop-helix (bHLH)	HLH domain only	PIF4; phytochrome-interacting factor 4
K13422	Eukaryotic type	Basic helix-loop-helix (bHLH)	HLH domain only	MYC2; transcription factor MYC2
K20558	Eukaryotic type	Basic helix-loop-helix (bHLH)	HLH domain only	SPCH; transcription factor SPEECHLESS
K26213	Eukaryotic type	Basic helix-loop-helix (bHLH)	HLH domain only	FAMA; transcription factor FAMA
K26214	Eukaryotic type	Basic helix-loop-helix (bHLH)	HLH domain only	FIT; transcription factor FER-LIKE IRON
K09104	Eukaryotic type	Basic helix-loop-helix (bHLH)	HLH domain only	TX; delilah
K22484	Eukaryotic type	Basic helix-loop-helix (bHLH)	HLH domain only	CBF1; transcriptional regulator CBF1
K09105	Eukaryotic type	Basic helix-loop-helix/leucine zipper (bHLH-ZIP)	Ubiquitous bHLH-ZIP factors	TFE3; transcription factor E3
K15590	Eukaryotic type	Basic helix-loop-helix/leucine zipper (bHLH-ZIP)	Ubiquitous bHLH-ZIP factors	TFEB; transcription factor EB
K15591	Eukaryotic type	Basic helix-loop-helix/leucine zipper (bHLH-ZIP)	Ubiquitous bHLH-ZIP factors	TFEC; transcription factor EC
K09455	Eukaryotic type	Basic helix-loop-helix/leucine zipper (bHLH-ZIP)	Ubiquitous bHLH-ZIP factors	MITF; microphthalmia-associated transcription factor
K09106	Eukaryotic type	Basic helix-loop-helix/leucine zipper (bHLH-ZIP)	Ubiquitous bHLH-ZIP factors	USF; upstream stimulatory factor
K07197	Eukaryotic type	Basic helix-loop-helix/leucine zipper (bHLH-ZIP)	Ubiquitous bHLH-ZIP factors	SREBP1, SREBF1; sterol regulatory element-binding transcription factor 1
K09107	Eukaryotic type	Basic helix-loop-helix/leucine zipper (bHLH-ZIP)	Ubiquitous bHLH-ZIP factors	SREBP2, SREBF2; sterol regulatory element-binding transcription factor 2
K09108	Eukaryotic type	Basic helix-loop-helix/leucine zipper (bHLH-ZIP)	Ubiquitous bHLH-ZIP factors	TFAP4; transcription factor AP-4
K04377	Eukaryotic type	Basic helix-loop-helix/leucine zipper (bHLH-ZIP)	Cell cycle controlling factors, Myc	MYC; Myc proto-oncogene protein
K09109	Eukaryotic type	Basic helix-loop-helix/leucine zipper (bHLH-ZIP)	Cell cycle controlling factors, Myc	NMYC, MYCN; N-myc proto-oncogene protein
K09110	Eukaryotic type	Basic helix-loop-helix/leucine zipper (bHLH-ZIP)	Cell cycle controlling factors, Myc	LMYC, MYCL; L-myc proto-oncogene protein
K09111	Eukaryotic type	Basic helix-loop-helix/leucine zipper (bHLH-ZIP)	Cell cycle controlling factors, Myc	BMYC, MYCB; brain expressed myelocytomatosis oncogene
K09112	Eukaryotic type	Basic helix-loop-helix/leucine zipper (bHLH-ZIP)	Cell cycle controlling factors, Myc	SMYC, MYCS; myc-like oncogene
K04453	Eukaryotic type	Basic helix-loop-helix/leucine zipper (bHLH-ZIP)	Cell cycle controlling factors, Mad/Max	MAX; Max protein
K09113	Eukaryotic type	Basic helix-loop-helix/leucine zipper (bHLH-ZIP)	Cell cycle controlling factors, Mad/Max	MLX; MAX-like protein X
K09114	Eukaryotic type	Basic helix-loop-helix/leucine zipper (bHLH-ZIP)	Cell cycle controlling factors, Mad/Max	MXD, MAD; MAX dimerization protein
K09115	Eukaryotic type	Basic helix-loop-helix/leucine zipper (bHLH-ZIP)	Cell cycle controlling factors, Mad/Max	MNT, ROX; MAX-binding protein
K17482	Eukaryotic type	Basic helix-loop-helix/leucine zipper (bHLH-ZIP)	Other bHLH-ZIP factors	SPZ1; spermatogenic leucine zipper protein 1
K09168	Eukaryotic type	Other basic domains	NF-1	NFIA; nuclear factor I/A
K09169	Eukaryotic type	Other basic domains	NF-1	NFIB; nuclear factor I/B
K09170	Eukaryotic type	Other basic domains	NF-1	NFIC; nuclear factor I/C
K09171	Eukaryotic type	Other basic domains	NF-1	NFIX; nuclear factor I/X
K09172	Eukaryotic type	Other basic domains	NF-1	NFIN; nuclear factor I, invertebrate
K09173	Eukaryotic type	Other basic domains	RF-X	RFX1_2_3; regulatory factor X 1/2/3
K09174	Eukaryotic type	Other basic domains	RF-X	RFX4; regulatory factor X 4
K08061	Eukaryotic type	Other basic domains	RF-X	RFX5; regulatory factor X 5
K19521	Eukaryotic type	Other basic domains	RF-X	RFX6; regulatory factor X 6
K09175	Eukaryotic type	Other basic domains	RF-X	RFX7; DNA-binding protein RFX7
K09176	Eukaryotic type	Other basic domains	AP-2 (bHSH)	TFAP2A_B; transcription factor AP-2 alpha/beta
K09177	Eukaryotic type	Other basic domains	AP-2 (bHSH)	TFAP2C; transcription factor AP-2 gamma
K09178	Eukaryotic type	Other basic domains	AP-2 (bHSH)	TFAP2D; transcription factor AP-2 delta
K09179	Eukaryotic type	Other basic domains	AP-2 (bHSH)	TFAP2E; transcription factor AP-2 epsilon
K09180	Eukaryotic type	Other basic domains	AP-2 (bHSH)	TFAP2N; transcription factor AP-2, invertebrate
K05547	Eukaryotic type	Zinc finger	Cys4 thyroid hormone receptor-like	THRA, NR1A1; thyroid hormone receptor alpha
K08362	Eukaryotic type	Zinc finger	Cys4 thyroid hormone receptor-like	THRB, NR1A2; thyroid hormone receptor beta
K08527	Eukaryotic type	Zinc finger	Cys4 thyroid hormone receptor-like	RARA, NR1B1; retinoic acid receptor alpha
K08528	Eukaryotic type	Zinc finger	Cys4 thyroid hormone receptor-like	RARB, NR1B2; retinoic acid receptor beta
K08529	Eukaryotic type	Zinc finger	Cys4 thyroid hormone receptor-like	RARG, NR1B3; retinoic acid receptor gamma
K07294	Eukaryotic type	Zinc finger	Cys4 thyroid hormone receptor-like	NR1C1, PPARA; peroxisome proliferator-activated receptor alpha
K04504	Eukaryotic type	Zinc finger	Cys4 thyroid hormone receptor-like	NR1C2, PPARD; peroxisome proliferator-activated receptor delta
K08530	Eukaryotic type	Zinc finger	Cys4 thyroid hormone receptor-like	NR1C3, PPARG; peroxisome proliferator-activated receptor gamma
K03728	Eukaryotic type	Zinc finger	Cys4 thyroid hormone receptor-like	NR1D1; nuclear receptor subfamily 1 group D member 1
K08531	Eukaryotic type	Zinc finger	Cys4 thyroid hormone receptor-like	NR1D2; nuclear receptor subfamily 1 group D member 2
K08701	Eukaryotic type	Zinc finger	Cys4 thyroid hormone receptor-like	NR1D3; nuclear receptor subfamily 1 group D member 3
K08532	Eukaryotic type	Zinc finger	Cys4 thyroid hormone receptor-like	NR1F1, RORA; RAR-related orphan receptor alpha
K08533	Eukaryotic type	Zinc finger	Cys4 thyroid hormone receptor-like	NR1F2, RORB; RAR-related orphan receptor beta
K08534	Eukaryotic type	Zinc finger	Cys4 thyroid hormone receptor-like	NR1F3, RORC; RAR-related orphan receptor gamma
K14033	Eukaryotic type	Zinc finger	Cys4 thyroid hormone receptor-like	NR1F4; nuclear receptor subfamily 1 group F member 4
K08536	Eukaryotic type	Zinc finger	Cys4 thyroid hormone receptor-like	NR1H3, LXRA; liver X receptor alpha
K08535	Eukaryotic type	Zinc finger	Cys4 thyroid hormone receptor-like	NR1H2, LXRB; liver X receptor beta
K08537	Eukaryotic type	Zinc finger	Cys4 thyroid hormone receptor-like	NR1H4, FXR; farnesoid X receptor
K08538	Eukaryotic type	Zinc finger	Cys4 thyroid hormone receptor-like	NR1H5, FXRB; farnesoid X receptor beta
K14034	Eukaryotic type	Zinc finger	Cys4 thyroid hormone receptor-like	NR1H1, EcR; ecdysone receptor
K08539	Eukaryotic type	Zinc finger	Cys4 thyroid hormone receptor-like	VDR, NR1I1; vitamin D3 receptor
K08540	Eukaryotic type	Zinc finger	Cys4 thyroid hormone receptor-like	NR1I2, PXR; pregnane X receptor
K08541	Eukaryotic type	Zinc finger	Cys4 thyroid hormone receptor-like	NR1I3, CAR; constitutive androstane receptor
K14035	Eukaryotic type	Zinc finger	Cys4 thyroid hormone receptor-like	NR1IN; nuclear receptor subfamily 1 group I
K07292	Eukaryotic type	Zinc finger	Cys4 hepatocyte nuclear factor 4-like	NR2A1, HNF4A; hepatocyte nuclear factor 4-alpha
K08037	Eukaryotic type	Zinc finger	Cys4 hepatocyte nuclear factor 4-like	NR2A2, HNF4G; hepatocyte nuclear factor 4-gamma
K08542	Eukaryotic type	Zinc finger	Cys4 hepatocyte nuclear factor 4-like	NR2A3, HNF4B; hepatocyte nuclear factor 4-beta
K08704	Eukaryotic type	Zinc finger	Cys4 hepatocyte nuclear factor 4-like	NR2A4, Hnf4; hepatocyte nuclear factor 4
K07295	Eukaryotic type	Zinc finger	Cys4 hepatocyte nuclear factor 4-like	NR2AN, dsf; nuclear receptor subfamily 2 group A
K08524	Eukaryotic type	Zinc finger	Cys4 hepatocyte nuclear factor 4-like	RXRA, NR2B1; retinoid X receptor alpha
K08525	Eukaryotic type	Zinc finger	Cys4 hepatocyte nuclear factor 4-like	RXRB, NR2B2; retinoid X receptor beta
K08526	Eukaryotic type	Zinc finger	Cys4 hepatocyte nuclear factor 4-like	RXRG, NR2B3; retinoid X receptor gamma
