Genus_name	Division_name
Fluoribacter	Bacteria
Acinetobacter	Bacteria
Moraxella	Bacteria
Neisseria	Bacteria
Bergeriella	Bacteria
Psychrobacter	Bacteria
Thermomicrobium	Bacteria
Kingella	Bacteria
Alcaligenes	Bacteria
Bordetella	Bacteria
Acidiphilium	Bacteria
Acidocella	Bacteria
Beijerinckia	Bacteria
Chromobacterium	Bacteria
Iodobacter	Bacteria
Eikenella	Bacteria
Zymomonas	Bacteria
Citrobacter	Bacteria
Klebsiella	Bacteria
Pantoea	Bacteria
Enterobacter	Bacteria
Erwinia	Bacteria
Pectobacterium	Bacteria
Dickeya	Bacteria
Escherichia	Bacteria
Shimwellia	Bacteria
Atlantibacter	Bacteria
Pseudescherichia	Bacteria
Hafnia	Bacteria
Raoultella	Bacteria
Kluyvera	Bacteria
Morganella	Bacteria
Proteus	Bacteria
Providencia	Bacteria
Salmonella	Bacteria
Serratia	Bacteria
Shigella	Bacteria
Xenorhabdus	Bacteria
Yersinia	Bacteria
Edwardsiella	Bacteria
Arsenophonus	Bacteria
Aeromonas	Bacteria
Photobacterium	Bacteria
Vibrio	Bacteria
Aliivibrio	Bacteria
Grimontia	Bacteria
magnetite-containing	Bacteria
Plesiomonas	Bacteria
Cryptosaras	Bacteria
Melanocetus	Bacteria
Aggregatibacter	Bacteria
Actinobacillus	Bacteria
Haemophilus	Bacteria
Avibacterium	Bacteria
[Haemophilus]	Bacteria
Histophilus	Bacteria
Canicola	Bacteria
Glaesserella	Bacteria
Pasteurella	Bacteria
[Pasteurella]	Bacteria
Gallibacterium	Bacteria
Rodentibacter	Bacteria
Anaplasma	Bacteria
Bartonella	Bacteria
Coxiella	Bacteria
Ehrlichia	Bacteria
Rickettsia	Bacteria
Orientia	Bacteria
Chlamydia	Bacteria
Bacteroides	Bacteria
Phocaeicola	Bacteria
Parabacteroides	Bacteria
Sebaldella	Bacteria
Butyrivibrio	Bacteria
Fibrobacter	Bacteria
Porphyromonas	Bacteria
Xylanibacter	Bacteria
Hoylesella	Bacteria
Roseburia	Bacteria
Wolinella	Bacteria
Oxalobacter	Bacteria
Fusobacterium	Bacteria
Faecalibacterium	Bacteria
Syntrophomonas	Bacteria
Pectinatus	Bacteria
Ruminobacter	Bacteria
Dichelobacter	Bacteria
Desulfocurvibacter	Bacteria
Desulfovibrio	Bacteria
Solidesulfovibrio	Bacteria
Megalodesulfovibrio	Bacteria
Maridesulfovibrio	Bacteria
Nitratidesulfovibrio	Bacteria
Thermodesulfobacterium	Bacteria
Desulfobotulus	Bacteria
Paucidesulfovibrio	Bacteria
Desulfuromonas	Bacteria
Desulfobulbus	Bacteria
Desulfococcus	Bacteria
Desulfomicrobium	Bacteria
Acidaminococcus	Bacteria
Megasphaera	Bacteria
Nitrobacter	Bacteria
Nitrosomonas	Bacteria
Acidithiobacillus	Bacteria
Guyparkeria	Bacteria
Thiobacillus	Bacteria
Thiomonas	Bacteria
Halothiobacillus	Bacteria
Thermithiobacillus	Bacteria
Thiomicrospira	Bacteria
Thiovulum	Bacteria
Hydrogenobacter	Bacteria
Neorickettsia	Bacteria
Wolbachia	Bacteria
Bdellovibrio	Bacteria
Bacteriovorax	Bacteria
Campylobacter-like	Bacteria
Herbaspirillum	Bacteria
Oceanospirillum	Bacteria
Spirillum	Bacteria
Selenomonas	Bacteria
Sporohalobacter	Bacteria
Cellulophaga	Bacteria
Persicobacter	Bacteria
Saccharicrinis	Bacteria
Pedobacter	Bacteria
Cytophaga	Bacteria
Aquimarina	Bacteria
Leeuwenhoekiella	Bacteria
Marinilabilia	Bacteria
Breznakibacter	Bacteria
Solitalea	Bacteria
Eisenibacter	Bacteria
Flexibacter	Bacteria
Bernardetia	Bacteria
Garritya	Bacteria
Hugenholtzia	Bacteria
Thermoflexibacter	Bacteria
Chitinophaga	Bacteria
Marivirga	Bacteria
Saprospira	Bacteria
Sporocytophaga	Bacteria
Weeksella	Bacteria
Bergeyella	Bacteria
Capnocytophaga	Bacteria
Beggiatoa	Bacteria
Flammeovirga	Bacteria
Marinoscillum	Bacteria
Microscilla	Bacteria
Thiothrix	Bacteria
Afipia	Bacteria
Barophile	Bacteria
Erythrobacter	Bacteria
Marichromatium	Bacteria
Allochromatium	Bacteria
Thermochromatium	Bacteria
Halorhodospira	Bacteria
Ectothiorhodospira	Bacteria
Thiococcus	Bacteria
Thiocapsa	Bacteria
Rhodobacter	Bacteria
Cereibacter	Bacteria
Rhodocyclus	Bacteria
Rhodomicrobium	Bacteria
Rhodopila	Bacteria
Rhodoblastus	Bacteria
Fuscovulum	Bacteria
Rhodopseudomonas	Bacteria
Blastochloris	Bacteria
Afifella	Bacteria
Magnetospirillum	Bacteria
Pararhodospirillum	Bacteria
Rhodospirillum	Bacteria
Rhodothalassium	Bacteria
Rhodovibrio	Bacteria
Chlorobium	Bacteria
Chlorobaculum	Bacteria
Prosthecochloris	Bacteria
Pelodictyon	Bacteria
Clathrochloris	Bacteria
Chloroflexus	Bacteria
Heliothrix	Bacteria
Porphyrobacter	Bacteria
Aphanothece	Bacteria
Chlorogloeopsis	Bacteria
Microcystis	Bacteria
Synechococcus	Bacteria
Synechocystis	Bacteria
Oscillatoriales	Bacteria
Pseudanabaena	Bacteria
Spirulina	Bacteria
Oscillatoria	Bacteria
Planktothrix	Bacteria
Trichormus	Bacteria
Anabaena	Bacteria
Dolichospermum	Bacteria
Nostoc	Bacteria
Aphanizomenon	Bacteria
Desmonostoc	Bacteria
Leptolyngbya	Bacteria
Calothrix	Bacteria
Tolypothrix	Bacteria
Fischerella	Bacteria
Microchaete	Bacteria
Phormidium	Bacteria
Scytonema	Bacteria
Trichodesmium	Bacteria
uncultured	Environmental samples
Prochloron	Bacteria
Prochlorococcus	Bacteria
Prochlorothrix	Bacteria
Nitrosococcus	Bacteria
Nitrosospira	Bacteria
Nitrosovibrio	Bacteria
Piscirickettsia	Bacteria
Leuconostoc	Bacteria
Oenococcus	Bacteria
Weissella	Bacteria
Pediococcus	Bacteria
Peptoniphilus	Bacteria
Peptostreptococcus	Bacteria
Finegoldia	Bacteria
Ruminococcus	Bacteria
Sarcina	Bacteria
Micrococcus	Bacteria
Kocuria	Bacteria
Dermacoccus	Bacteria
Kytococcus	Bacteria
Staphylococcus	Bacteria
Mammaliicoccus	Bacteria
Deinococcus	Bacteria
Streptococcus	Bacteria
Blautia	Bacteria
Faecalicoccus	Bacteria
Enterococcus	Bacteria
Lactococcus	Bacteria
Marinococcus	Bacteria
Planococcus	Bacteria
Aerococcus	Bacteria
Gemella	Bacteria
Atopobium	Bacteria
Lancefieldella	Bacteria
Alicyclobacillus	Bacteria
Bacillus	Bacteria
Aneurinibacillus	Bacteria
Brevibacillus	Bacteria
[Bacillus]	Bacteria
Niallia	Bacteria
Heyndrickxia	Bacteria
Cytobacillus	Bacteria
Paenibacillus	Bacteria
Priestia	Bacteria
Peribacillus	Bacteria
Halalkalibacter	Bacteria
Evansella	Bacteria
Caldalkalibacillus	Bacteria
Lysinibacillus	Bacteria
Geobacillus	Bacteria
Parageobacillus	Bacteria
Alkalihalobacillus	Bacteria
Amphibacillus	Bacteria
Schinkia	Bacteria
Metabacillus	Bacteria
Sporosarcina	Bacteria
Psychrobacillus	Bacteria
Lederbergia	Bacteria
Virgibacillus	Bacteria
Hydrogenibacillus	Bacteria
[Butyribacterium]	Bacteria
Clostridium	Bacteria
Paraclostridium	Bacteria
Clostridioides	Bacteria
Hathewaya	Bacteria
Ruminiclostridium	Bacteria
Gottschalkia	Bacteria
Thermoclostridium	Bacteria
Acetoanaerobium	Bacteria
[Clostridium]	Bacteria
Acetivibrio	Bacteria
Thermoanaerobacter	Bacteria
Thermoanaerobacterium	Bacteria
Moorella	Bacteria
Anaerocolumna	Bacteria
Eubacterium	Bacteria
Enterocloster	Bacteria
Romboutsia	Bacteria
Metaclostridioides	Bacteria
Terrisporobacter	Bacteria
Faecalicatena	Bacteria
Thomasclavelia	Bacteria
Faecalispora	Bacteria
Peptoclostridium	Bacteria
Desulfosporosinus	Bacteria
Desulforamulus	Bacteria
Desulfotomaculum	Bacteria
Desulfofundulus	Bacteria
Quinella	Bacteria
Halobacillus	Bacteria
Leifsonia	Bacteria
Lactobacillus	Bacteria
Levilactobacillus	Bacteria
Lentilactobacillus	Bacteria
Lacticaseibacillus	Bacteria
Lactiplantibacillus	Bacteria
Limosilactobacillus	Bacteria
Latilactobacillus	Bacteria
Ligilactobacillus	Bacteria
Companilactobacillus	Bacteria
Amylolactobacillus	Bacteria
Loigolactobacillus	Bacteria
Fructilactobacillus	Bacteria
Liquorilactobacillus	Bacteria
Kandleria	Bacteria
Fructobacillus	Bacteria
Listeria	Bacteria
Renibacterium	Bacteria
Erysipelothrix	Bacteria
Kurthia	Bacteria
Alloiococcus	Bacteria
Actinomyces	Bacteria
Actinobaculum	Bacteria
Schaalia	Bacteria
Trueperella	Bacteria
Arthrobacter	Bacteria
Pseudarthrobacter	Bacteria
Bifidobacterium	Bacteria
Corynebacterium	Bacteria
Brevibacterium	Bacteria
Cellulosimicrobium	Bacteria
Oerskovia	Bacteria
coryneform	Bacteria
Holdemanella	Bacteria
Propionibacterium	Bacteria
Cutibacterium	Bacteria
Acidipropionibacterium	Bacteria
Arachnia	Bacteria
Propioniferax	Bacteria
Mycobacterium	Bacteria
Mycolicibacterium	Bacteria
Mycobacteroides	Bacteria
Mycolicibacter	Bacteria
Mycolicibacillus	Bacteria
Amycolatopsis	Bacteria
Actinokineospora	Bacteria
Nocardia	Bacteria
Rhodococcus	Bacteria
Saccharopolyspora	Bacteria
Nocardioides	Bacteria
Pseudonocardia	Bacteria
Actinopolyspora	Bacteria
Saccharomonospora	Bacteria
Frankia	Bacteria
Geodermatophilus	Bacteria
Dermatophilus	Bacteria
Actinoplanes	Bacteria
Amorphoplanes	Bacteria
Micromonospora	Bacteria
Streptomyces	Bacteria
Kitasatospora	Bacteria
Streptoalloteichus	Bacteria
Actinomadura	Bacteria
Thermomonospora	Bacteria
Microtetraspora	Bacteria
Planomonospora	Bacteria
Streptosporangium	Bacteria
Thermobispora	Bacteria
Nocardiopsis	Bacteria
Thermobifida	Bacteria
Thermoactinomyces	Bacteria
Kibdelosporangium	Bacteria
Microbacterium	Bacteria
Curtobacterium	Bacteria
Tropheryma	Bacteria
Aeromicrobium	Bacteria
Pimelobacter	Bacteria
Rothia	Bacteria
Mobiluncus	Bacteria
Gordonia	Bacteria
Sphaerobacter	Bacteria
Tsukamurella	Bacteria
Saccharothrix	Bacteria
Sporolactobacillus	Bacteria
Anaeroplasma	Bacteria
Mycoplasmopsis	Bacteria
Mycoplasma	Bacteria
Mycoplasmoides	Bacteria
Metamycoplasma	Bacteria
Mesomycoplasma	Bacteria
Entomoplasma	Bacteria
Malacoplasma	Bacteria
[Mycoplasma]	Bacteria
Ureaplasma	Bacteria
Spiroplasma	Bacteria
Acholeplasma	Bacteria
Mesoplasma	Bacteria
Haploplasma	Bacteria
Asteroleplasma	Bacteria
Phytoplasma	Bacteria
Methanobacterium	Bacteria
Methanobrevibacter	Bacteria
Metopus	Bacteria
Methanohalophilus	Bacteria
Methanothermus	Bacteria
Methanothermococcus	Bacteria
Methanococcus	Bacteria
Methanotorris	Bacteria
Methanocaldococcus	Bacteria
Methanocorpusculum	Bacteria
Methanogenium	Bacteria
Methanoculleus	Bacteria
Methanofollis	Bacteria
Methanospirillum	Bacteria
Methanomicrobium	Bacteria
Methanosarcina	Bacteria
Methanolobus	Bacteria
Methanothrix	Bacteria
Methanococcoides	Bacteria
Archaeoglobus	Bacteria
Haloarcula	Bacteria
Halobacterium	Bacteria
Haloferax	Bacteria
Halorubrum	Bacteria
Halococcus	Bacteria
Natronomonas	Bacteria
Pyrococcus	Bacteria
Thermococcus	Bacteria
Thermofilum	Bacteria
Thermoproteus	Bacteria
Desulfurococcus	Bacteria
Pyrobaculum	Bacteria
Staphylothermus	Bacteria
Acidianus	Bacteria
Sulfolobus	Bacteria
Saccharolobus	Bacteria
Desulfobacter	Bacteria
Desulforapulum	Bacteria
Desulfocicer	Bacteria
Desulfosarcina	Bacteria
Thermoplasma	Bacteria
archaeal	Bacteria
Pyrodictium	Bacteria
Trimyema	Bacteria
Methanoplanus	Bacteria
Methanosphaera	Bacteria
Methanopyrus	Bacteria
Methanohalobium	Bacteria
Alvinoconcha	Bacteria
Halanaerobium	Bacteria
Propionigenium	Bacteria
Thermotoga	Bacteria
Thyasira	Bacteria
Solemya	Bacteria
primary	Bacteria
endosymbiont	Bacteria
Methylosporovibrio	Bacteria
Iron	Bacteria
Haliscomenobacter	Bacteria
Flexistipes	Bacteria
Flexispira	Bacteria
unidentified	Bacteria
Desulfomonile	Bacteria
Bathymodiolus	Bacteria
Calyptogena	Bacteria
Codakia	Bacteria
Lucinoma	Bacteria
Riftia	Bacteria
Arhodomonas	Bacteria
Xylella	Bacteria
Acetonema	Bacteria
Sporomusa	Bacteria
Acetitomaculum	Bacteria
Transposon	Unassigned
Thermosipho	Bacteria
Fervidobacterium	Bacteria
Teredinibacter	Bacteria
TOL	Bacteria
Roseobacter	Bacteria
Plasmid	Bacteria
Sequencing	Synthetic and Chimeric
Recombinant	Synthetic and Chimeric
Insertion	Bacteria
Incompatibility	Bacteria
Heliobacterium	Bacteria
Heliomicrobium	Bacteria
Gardnerella	Bacteria
Citrus	Bacteria
Aquifex	Bacteria
Cardiobacterium	Bacteria
Hirschia	Bacteria
Candidatus	Bacteria
Symbiobacterium	Bacteria
Verrucomicrobium	Bacteria
Vagococcus	Bacteria
Peptococcus	Bacteria
Marinobacter	Bacteria
Carnobacterium	Bacteria
Synergistes	Bacteria
Brochothrix	Bacteria
Cyanophora	Plants and Fungi
Aglaothamnion	Plants and Fungi
Antithamnion	Plants and Fungi
Chondrus	Plants and Fungi
Cyanidium	Plants and Fungi
Gastroclonium	Plants and Fungi
Gracilaria	Plants and Fungi
Gracilariopsis	Plants and Fungi
Neopyropia	Plants and Fungi
Porphyra	Plants and Fungi
Porphyridium	Plants and Fungi
Rhodella	Plants and Fungi
Polysiphonia	Plants and Fungi
Batrachospermum	Plants and Fungi
Gelidium	Plants and Fungi
Grateloupia	Plants and Fungi
Palmaria	Plants and Fungi
Gloiopeltis	Plants and Fungi
Heterosigma	Plants and Fungi
Bumilleriopsis	Plants and Fungi
Skeletonema	Plants and Fungi
Phaeodactylum	Plants and Fungi
Cylindrotheca	Plants and Fungi
Nitzschia	Plants and Fungi
Crypthecodinium	Plants and Fungi
Peridinium	Plants and Fungi
Costaria	Plants and Fungi
Dictyota	Plants and Fungi
Ectocarpus	Plants and Fungi
Pylaiella	Plants and Fungi
Alaria	Plants and Fungi
Petalonia	Plants and Fungi
Cryptomonas	Plants and Fungi
Emiliania	Plants and Fungi
Ochrosphaera	Plants and Fungi
Tripos	Plants and Fungi
Heterocapsa	Plants and Fungi
Thoracosphaera	Plants and Fungi
Alexandrium	Plants and Fungi
Prorocentrum	Plants and Fungi
Symbiodinium	Plants and Fungi
Protodinium	Plants and Fungi
Gymnodinium	Plants and Fungi
Amphidinium	Plants and Fungi
Noctiluca	Plants and Fungi
Oxyrrhis	Plants and Fungi
Pyrocystis	Plants and Fungi
Vaucheria	Plants and Fungi
Tribonema	Plants and Fungi
Ochromonas	Plants and Fungi
Mallomonas	Plants and Fungi
Synura	Plants and Fungi
Hydrurus	Plants and Fungi
Chromulina	Plants and Fungi
Hibberdia	Plants and Fungi
Bacillaria	Plants and Fungi
Rhizosolenia	Plants and Fungi
Fucus	Plants and Fungi
Sargassum	Plants and Fungi
Acinetospora	Plants and Fungi
Akkesiphycus	Plants and Fungi
Chordaria	Plants and Fungi
Chroomonas	Plants and Fungi
Hanusia	Plants and Fungi
Pyrenomonas	Plants and Fungi
Euglena	Plants and Fungi
Dunaliella	Plants and Fungi
Polytomella	Plants and Fungi
Chlamydomonas	Plants and Fungi
Pyrobotrys	Plants and Fungi
Volvox	Plants and Fungi
Pseudochlorella	Plants and Fungi
[Chlorella]	Plants and Fungi
Parachlorella	Plants and Fungi
Auxenochlorella	Plants and Fungi
Chlorella	Plants and Fungi
Lobosphaeropsis	Plants and Fungi
Neodesmus	Plants and Fungi
Chloroidium	Plants and Fungi
Edaphochlorella	Plants and Fungi
green	Plants and Fungi
Tetradesmus	Plants and Fungi
Scenedesmus	Plants and Fungi
Characiopodium	Plants and Fungi
Characium	Plants and Fungi
Chlamydopodium	Plants and Fungi
Ettlia	Plants and Fungi
Neochloris	Plants and Fungi
Parietochloris	Plants and Fungi
Pediastrum	Plants and Fungi
Hydrodictyon	Plants and Fungi
Ankistrodesmus	Plants and Fungi
Prototheca	Plants and Fungi
Ulva	Plants and Fungi
Coleochaete	Plants and Fungi
Bryopsis	Plants and Fungi
Codium	Plants and Fungi
Batophora	Plants and Fungi
Chlorokybus	Plants and Fungi
Nitella	Plants and Fungi
Asteromonas	Plants and Fungi
Pedinomonas	Plants and Fungi
Tetraselmis	Plants and Fungi
Prasinocladus	Plants and Fungi
cf.	Plants and Fungi
Myrmecia	Plants and Fungi
Klebsormidium	Plants and Fungi
Spirogyra	Plants and Fungi
Chaetomorpha	Plants and Fungi
Picochlorum	Plants and Fungi
Scherffelia	Plants and Fungi
Spermatozopsis	Plants and Fungi
Marchantia	Plants and Fungi
Lophocolea	Plants and Fungi
Polytrichum	Plants and Fungi
Physcomitrium	Plants and Fungi
Dicranum	Plants and Fungi
Ceratodon	Plants and Fungi
Mnium	Plants and Fungi
Plagiomnium	Plants and Fungi
Anthoceros	Plants and Fungi
Psilotum	Plants and Fungi
Selaginella	Plants and Fungi
Lycopodium	Plants and Fungi
Equisetum	Plants and Fungi
Angiopteris	Plants and Fungi
Dicksonia	Plants and Fungi
Gleichenia	Plants and Fungi
Matteuccia	Plants and Fungi
Polystichum	Plants and Fungi
Onoclea	Plants and Fungi
Osmundastrum	Plants and Fungi
Osmunda	Plants and Fungi
Dryopteris	Plants and Fungi
Encephalartos	Plants and Fungi
Zamia	Plants and Fungi
Ginkgo	Plants and Fungi
Thuja	Plants and Fungi
Abies	Plants and Fungi
Cedrus	Plants and Fungi
Keteleeria	Plants and Fungi
Larix	Plants and Fungi
Picea	Plants and Fungi
Pinus	Plants and Fungi
Pseudolarix	Plants and Fungi
Pseudotsuga	Plants and Fungi
Tsuga	Plants and Fungi
Podocarpus	Plants and Fungi
Cryptomeria	Plants and Fungi
Metasequoia	Plants and Fungi
Welwitschia	Plants and Fungi
Gnetum	Plants and Fungi
Ephedra	Plants and Fungi
Cycas	Plants and Fungi
Magnolia	Plants and Fungi
Liriodendron	Plants and Fungi
Drimys	Plants and Fungi
Tasmannia	Plants and Fungi
Canella	Plants and Fungi
Calycanthus	Plants and Fungi
Persea	Plants and Fungi
Umbellularia	Plants and Fungi
Coptis	Plants and Fungi
Nigella	Plants and Fungi
Ranunculus	Plants and Fungi
Caltha	Plants and Fungi
Aquilegia	Plants and Fungi
Clematis	Plants and Fungi
Dioscoreophyllum	Plants and Fungi
Coriaria	Plants and Fungi
Capnoides	Plants and Fungi
Eschscholzia	Plants and Fungi
Papaver	Plants and Fungi
Sanguinaria	Plants and Fungi
Parasponia	Plants and Fungi
Trema	Plants and Fungi
Cannabis	Plants and Fungi
Humulus	Plants and Fungi
Artocarpus	Plants and Fungi
Ficus	Plants and Fungi
Maclura	Plants and Fungi
Morus	Plants and Fungi
Urtica	Plants and Fungi
Betula	Plants and Fungi
Morella	Plants and Fungi
Quercus	Plants and Fungi
Alnus	Plants and Fungi
Casuarina	Plants and Fungi
Phytolacca	Plants and Fungi
Gisekia	Plants and Fungi
Rivina	Plants and Fungi
Stegnosperma	Plants and Fungi
Mirabilis	Plants and Fungi
Bougainvillea	Plants and Fungi
Mesembryanthemum	Plants and Fungi
Lithops	Plants and Fungi
Trianthema	Plants and Fungi
Atriplex	Plants and Fungi
Beta	Plants and Fungi
Patellifolia	Plants and Fungi
Chenopodium	Plants and Fungi
Oxybasis	Plants and Fungi
Spinacia	Plants and Fungi
Amaranthus	Plants and Fungi
Dianthus	Plants and Fungi
Saponaria	Plants and Fungi
Silene	Plants and Fungi
Arenaria	Plants and Fungi
Cerastium	Plants and Fungi
Portulaca	Plants and Fungi
Alluaudia	Plants and Fungi
Basella	Plants and Fungi
Mollugo	Plants and Fungi
Schlumbergera	Plants and Fungi
Pereskia	Plants and Fungi
Phaulothamnus	Plants and Fungi
Vitis	Plants and Fungi
Parthenocissus	Plants and Fungi
Rhamnus	Plants and Fungi
Fagopyrum	Plants and Fungi
Rumex	Plants and Fungi
Rheum	Plants and Fungi
Actinidia	Plants and Fungi
Abutilon	Plants and Fungi
Gossypium	Plants and Fungi
Thespesia	Plants and Fungi
Theobroma	Plants and Fungi
Bertholletia	Plants and Fungi
Carica	Plants and Fungi
Bryonia	Plants and Fungi
Citrullus	Plants and Fungi
Cucumis	Plants and Fungi
Cucurbita	Plants and Fungi
Lagenaria	Plants and Fungi
Luffa	Plants and Fungi
Momordica	Plants and Fungi
Trichosanthes	Plants and Fungi
Ecballium	Plants and Fungi
Begonia	Plants and Fungi
Passiflora	Plants and Fungi
Populus	Plants and Fungi
Arabidopsis	Plants and Fungi
Armoracia	Plants and Fungi
Brassica	Plants and Fungi
Capsella	Plants and Fungi
Crambe	Plants and Fungi
Matthiola	Plants and Fungi
Raphanus	Plants and Fungi
Sinapis	Plants and Fungi
Sisymbrium	Plants and Fungi
Diplotaxis	Plants and Fungi
Moringa	Plants and Fungi
Manilkara	Plants and Fungi
Synsepalum	Plants and Fungi
Fragaria	Plants and Fungi
Malus	Plants and Fungi
Prunus	Plants and Fungi
Geum	Plants and Fungi
Rosa	Plants and Fungi
Pyrus	Plants and Fungi
Byblis	Plants and Fungi
Roridula	Plants and Fungi
Cephalotus	Plants and Fungi
Ceratopetalum	Plants and Fungi
Weinmannia	Plants and Fungi
Sedum	Plants and Fungi
Eucryphia	Plants and Fungi
Heuchera	Plants and Fungi
Parnassia	Plants and Fungi
Micranthes	Plants and Fungi
Ribes	Plants and Fungi
Bauhinia	Plants and Fungi
Acacia	Plants and Fungi
Adenanthera	Plants and Fungi
Albizia	Plants and Fungi
Abrus	Plants and Fungi
Arachis	Plants and Fungi
Cajanus	Plants and Fungi
Canavalia	Plants and Fungi
Cicer	Plants and Fungi
Crotalaria	Plants and Fungi
Cyamopsis	Plants and Fungi
Cytisophyllum	Plants and Fungi
Cytisus	Plants and Fungi
Macropsychanthus	Plants and Fungi
Dioclea	Plants and Fungi
Erythrina	Plants and Fungi
Glycine	Plants and Fungi
Griffonia	Plants and Fungi
Laburnum	Plants and Fungi
Lathyrus	Plants and Fungi
Lens	Plants and Fungi
Leucaena	Plants and Fungi
Lotus	Plants and Fungi
Lupinus	Plants and Fungi
Macrotyloma	Plants and Fungi
Medicago	Plants and Fungi
Onobrychis	Plants and Fungi
Phaseolus	Plants and Fungi
Pisum	Plants and Fungi
Psophocarpus	Plants and Fungi
Sesbania	Plants and Fungi
Styphnolobium	Plants and Fungi
Trifolium	Plants and Fungi
Ulex	Plants and Fungi
Vicia	Plants and Fungi
Vigna	Plants and Fungi
Wisteria	Plants and Fungi
Philenoptera	Plants and Fungi
Cuphea	Plants and Fungi
Eucalyptus	Plants and Fungi
Clarkia	Plants and Fungi
Oenothera	Plants and Fungi
Combretum	Plants and Fungi
Pyrularia	Plants and Fungi
Buckleya	Plants and Fungi
Dendrophthora	Plants and Fungi
Phoradendron	Plants and Fungi
Viscum	Plants and Fungi
Schoepfia	Plants and Fungi
Suregada	Plants and Fungi
Hevea	Plants and Fungi
Manihot	Plants and Fungi
Mercurialis	Plants and Fungi
Ricinus	Plants and Fungi
Euphorbia	Plants and Fungi
Jatropha	Plants and Fungi
Simmondsia	Plants and Fungi
Buxus	Plants and Fungi
Linum	Plants and Fungi
Humiria	Plants and Fungi
Toxicodendron	Plants and Fungi
Bursera	Plants and Fungi
Tropaeolum	Plants and Fungi
Acer	Plants and Fungi
Pelargonium	Plants and Fungi
Oxalis	Plants and Fungi
Daucus	Plants and Fungi
Pastinaca	Plants and Fungi
Petroselinum	Plants and Fungi
Apium	Plants and Fungi
Coriandrum	Plants and Fungi
Hydrocotyle	Plants and Fungi
Hedera	Plants and Fungi
Panax	Plants and Fungi
Catharanthus	Plants and Fungi
Rauvolfia	Plants and Fungi
Calotropis	Plants and Fungi
Gymnema	Plants and Fungi
Capsicum	Plants and Fungi
Datura	Plants and Fungi
Hyoscyamus	Plants and Fungi
Solanum	Plants and Fungi
Nicotiana	Plants and Fungi
Petunia	Plants and Fungi
Ipomoea	Plants and Fungi
Convolvulus	Plants and Fungi
Cuscuta	Plants and Fungi
Eriodictyon	Plants and Fungi
