qseqid	stitle
TRINITY_DN10059_c0_g1_i1	PREDICTED: uncharacterized protein LOC101313379 [Fragaria vesca subsp. vesca]
TRINITY_DN1005_c0_g1_i4	PREDICTED: uncharacterized protein LOC101301594 [Fragaria vesca subsp. vesca]
TRINITY_DN1005_c1_g1_i8	PREDICTED: uncharacterized protein LOC105352336 [Fragaria vesca subsp. vesca]
TRINITY_DN10061_c0_g1_i6	PREDICTED: glycine--tRNA ligase 2, chloroplastic/mitochondrial [Fragaria vesca subsp. vesca]
TRINITY_DN10063_c0_g2_i1	PREDICTED: probable carboxylesterase 2 [Fragaria vesca subsp. vesca]
TRINITY_DN10064_c0_g1_i4	uncharacterized protein LOC112181749 [Rosa chinensis]
TRINITY_DN10064_c0_g2_i1	PREDICTED: uncharacterized protein LOC103326817 [Prunus mume]
TRINITY_DN10064_c0_g3_i1	PREDICTED: thioredoxin-like protein CITRX, chloroplastic [Fragaria vesca subsp. vesca]
TRINITY_DN10065_c0_g2_i1	PREDICTED: protein EMBRYO DEFECTIVE 1674-like [Fragaria vesca subsp. vesca]
TRINITY_DN10067_c0_g1_i11	uncharacterized protein LOC101299121 [Fragaria vesca]
TRINITY_DN10068_c0_g1_i9	PREDICTED: actin-related protein 2/3 complex subunit 2A isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN10069_c0_g1_i2	PREDICTED: argininosuccinate synthase, chloroplastic-like [Fragaria vesca subsp. vesca]
TRINITY_DN1006_c0_g1_i9	PREDICTED: receptor-like protein kinase THESEUS 1 [Fragaria vesca subsp. vesca]
TRINITY_DN10070_c0_g1_i5	programmed cell death-4 [Fragaria vesca]
TRINITY_DN10071_c0_g1_i1	PREDICTED: uncharacterized protein LOC101311764 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN10072_c0_g1_i4	PREDICTED: DUF21 domain-containing protein At4g14240 [Fragaria vesca subsp. vesca]
TRINITY_DN10074_c0_g1_i4	PREDICTED: chromatin-remodeling complex subunit ies6 [Fragaria vesca subsp. vesca]
TRINITY_DN10075_c0_g1_i5	PREDICTED: vacuolar protein sorting-associated protein 54, chloroplastic [Fragaria vesca subsp. vesca]
TRINITY_DN10077_c0_g2_i1	PREDICTED: uncharacterized protein C1F8.04c-like [Fragaria vesca subsp. vesca]
TRINITY_DN10078_c0_g1_i1	protein ECERIFERUM 2-like [Rosa chinensis]
TRINITY_DN10079_c0_g1_i2	PREDICTED: NAC domain-containing protein 74-like [Fragaria vesca subsp. vesca]
TRINITY_DN10081_c0_g1_i1	Auxin-responsive protein IAA14 [Zea mays]
TRINITY_DN10082_c0_g1_i3	PREDICTED: uncharacterized protein LOC101310803 [Fragaria vesca subsp. vesca]
TRINITY_DN10084_c0_g1_i4	PREDICTED: probable serine/threonine-protein kinase drkD [Fragaria vesca subsp. vesca]
TRINITY_DN10085_c0_g1_i7	PREDICTED: uncharacterized protein LOC101293317 [Fragaria vesca subsp. vesca]
TRINITY_DN10086_c0_g1_i4	PREDICTED: uncharacterized protein LOC101301714 [Fragaria vesca subsp. vesca]
TRINITY_DN10088_c0_g1_i1	PREDICTED: phosphatidylinositol 4-kinase gamma 7-like [Fragaria vesca subsp. vesca]
TRINITY_DN10088_c0_g2_i2	PREDICTED: septum-promoting GTP-binding protein 1 [Fragaria vesca subsp. vesca]
TRINITY_DN10089_c0_g1_i10	PREDICTED: leishmanolysin isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN1008_c0_g1_i3	PREDICTED: glycine-rich RNA-binding protein 1-like isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN10091_c0_g1_i2	PREDICTED: ER membrane protein complex subunit 8/9 homolog [Fragaria vesca subsp. vesca]
TRINITY_DN10092_c0_g1_i4	PREDICTED: uncharacterized protein LOC101309395 [Fragaria vesca subsp. vesca]
TRINITY_DN10093_c0_g1_i5	PREDICTED: scarecrow-like protein 14 [Fragaria vesca subsp. vesca]
TRINITY_DN10094_c0_g1_i1	uncharacterized protein LOC115957043 [Quercus lobata]
TRINITY_DN10094_c0_g2_i4	PREDICTED: uncharacterized protein LOC101309172 [Fragaria vesca subsp. vesca]
TRINITY_DN10095_c0_g1_i10	PREDICTED: uncharacterized protein LOC101292863 [Fragaria vesca subsp. vesca]
TRINITY_DN10096_c0_g1_i6	flavanone 3-hydroxylase [Fragaria x ananassa]
TRINITY_DN10097_c0_g1_i6	PREDICTED: protein VACUOLELESS1 isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN10099_c0_g1_i1	PREDICTED: uncharacterized protein LOC101299808 [Fragaria vesca subsp. vesca]
TRINITY_DN1009_c0_g1_i1	PREDICTED: uncharacterized acetyltransferase At3g50280-like [Fragaria vesca subsp. vesca]
TRINITY_DN100_c0_g1_i12	PREDICTED: long-chain-alcohol oxidase FAO2-like [Fragaria vesca subsp. vesca]
TRINITY_DN10100_c0_g1_i4	PREDICTED: mediator of RNA polymerase II transcription subunit 31 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN10102_c0_g1_i5	PREDICTED: transcription initiation factor TFIID subunit 12 isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN10103_c0_g1_i14	PREDICTED: villin-4 isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN10104_c0_g1_i1	PREDICTED: acidic leucine-rich nuclear phosphoprotein 32 family member B [Fragaria vesca subsp. vesca]
TRINITY_DN10105_c0_g1_i4	PREDICTED: uncharacterized protein LOC101297651 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN10106_c0_g1_i6	PREDICTED: uncharacterized protein LOC101303327 [Fragaria vesca subsp. vesca]
TRINITY_DN10107_c0_g1_i5	PREDICTED: endo-1,3;1,4-beta-D-glucanase-like [Fragaria vesca subsp. vesca]
TRINITY_DN10108_c0_g1_i1	hypothetical protein Ahy_B06g080143 isoform B [Arachis hypogaea]
TRINITY_DN10109_c0_g1_i6	PREDICTED: mannose-1-phosphate guanylyltransferase 1 [Fragaria vesca subsp. vesca]
TRINITY_DN1010_c0_g1_i4	putative Heat shock protein 70 family [Rosa chinensis]
TRINITY_DN10110_c0_g1_i11	transcription factor ERF5 [Fragaria x ananassa]
TRINITY_DN10111_c0_g1_i9	PREDICTED: transcription factor MYB1R1 [Fragaria vesca subsp. vesca]
TRINITY_DN10111_c1_g1_i3	PREDICTED: katanin p80 WD40 repeat-containing subunit B1 homolog isoform X4 [Fragaria vesca subsp. vesca]
TRINITY_DN10112_c0_g1_i9	PREDICTED: uncharacterized PKHD-type hydroxylase At1g22950-like [Fragaria vesca subsp. vesca]
TRINITY_DN10113_c0_g1_i8	PREDICTED: delta(7)-sterol-C5(6)-desaturase-like [Fragaria vesca subsp. vesca]
TRINITY_DN10114_c0_g1_i11	PREDICTED: uncharacterized protein LOC101304024 [Fragaria vesca subsp. vesca]
TRINITY_DN10116_c0_g1_i13	PREDICTED: uncharacterized protein LOC101293710 isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN10116_c1_g1_i21	uncharacterized protein At2g29880-like [Rosa chinensis]
TRINITY_DN10117_c0_g1_i2	PREDICTED: monoacylglycerol lipase abhd6-B-like [Fragaria vesca subsp. vesca]
TRINITY_DN10118_c0_g1_i8	PREDICTED: protein Iojap-related, mitochondrial [Fragaria vesca subsp. vesca]
TRINITY_DN10119_c0_g1_i7	PREDICTED: short-chain dehydrogenase/reductase 2b-like [Fragaria vesca subsp. vesca]
TRINITY_DN1011_c0_g1_i5	PREDICTED: uncharacterized protein LOC101296514 [Fragaria vesca subsp. vesca]
TRINITY_DN1011_c0_g2_i3	PREDICTED: protein SENSITIVE TO PROTON RHIZOTOXICITY 1 [Fragaria vesca subsp. vesca]
TRINITY_DN10123_c0_g1_i1	PREDICTED: nicalin-1 [Fragaria vesca subsp. vesca]
TRINITY_DN10123_c0_g2_i1	PREDICTED: nicalin-1 [Fragaria vesca subsp. vesca]
TRINITY_DN10124_c0_g2_i3	PREDICTED: uncharacterized protein LOC101290694 [Fragaria vesca subsp. vesca]
TRINITY_DN10126_c0_g1_i5	PREDICTED: hydroxymethylglutaryl-CoA lyase, mitochondrial-like [Fragaria vesca subsp. vesca]
TRINITY_DN10127_c0_g1_i3	PREDICTED: craniofacial development protein 1 [Fragaria vesca subsp. vesca]
TRINITY_DN10128_c0_g1_i5	hypothetical protein D8674_018560 [Pyrus ussuriensis x Pyrus communis]
TRINITY_DN1012_c0_g1_i4	PREDICTED: folylpolyglutamate synthase [Fragaria vesca subsp. vesca]
TRINITY_DN10130_c0_g1_i11	PREDICTED: importin-9 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN10132_c0_g1_i4	PREDICTED: transcriptional corepressor LEUNIG-like isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN10134_c0_g1_i4	PREDICTED: 25.3 kDa vesicle transport protein [Fragaria vesca subsp. vesca]
TRINITY_DN10135_c0_g1_i2	PREDICTED: pentatricopeptide repeat-containing protein At2g27800, mitochondrial [Fragaria vesca subsp. vesca]
TRINITY_DN10135_c0_g2_i1	acetylserotonin O-methyltransferase-like [Rosa chinensis]
TRINITY_DN10136_c0_g1_i6	PREDICTED: uncharacterized protein LOC101311322 [Fragaria vesca subsp. vesca]
TRINITY_DN10139_c0_g1_i1	PREDICTED: 40S ribosomal protein S26-3-like [Fragaria vesca subsp. vesca]
TRINITY_DN1013_c0_g1_i14	PREDICTED: uncharacterized protein LOC101296799 [Fragaria vesca subsp. vesca]
TRINITY_DN10142_c0_g1_i1	PREDICTED: F-box protein At5g49610 [Fragaria vesca subsp. vesca]
TRINITY_DN10143_c0_g1_i4	PREDICTED: uncharacterized protein LOC105352404 [Fragaria vesca subsp. vesca]
TRINITY_DN10145_c0_g1_i11	PREDICTED: ATP-dependent DNA helicase Q-like 3 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN10147_c0_g1_i5	Endonuclease [Actinidia chinensis var. chinensis]
TRINITY_DN10149_c0_g1_i1	PREDICTED: putative ER lumen protein-retaining receptor C28H8.4 [Fragaria vesca subsp. vesca]
TRINITY_DN1014_c0_g1_i13	PREDICTED: uncharacterized protein LOC101310670 [Fragaria vesca subsp. vesca]
TRINITY_DN10150_c0_g1_i2	PREDICTED: 17.9 kDa class II heat shock protein-like [Fragaria vesca subsp. vesca]
TRINITY_DN10151_c0_g1_i2	PREDICTED: pentatricopeptide repeat-containing protein At1g26900, mitochondrial [Fragaria vesca subsp. vesca]
TRINITY_DN10152_c0_g2_i2	PREDICTED: HMG-Y-related protein A-like [Fragaria vesca subsp. vesca]
TRINITY_DN10153_c0_g1_i3	PREDICTED: LOW QUALITY PROTEIN: ABC transporter G family member 7 [Fragaria vesca subsp. vesca]
TRINITY_DN10155_c0_g1_i4	PREDICTED: uncharacterized protein LOC101293131 [Fragaria vesca subsp. vesca]
TRINITY_DN10156_c0_g1_i3	PREDICTED: uncharacterized protein At5g19025-like [Fragaria vesca subsp. vesca]
TRINITY_DN10157_c0_g1_i1	PREDICTED: phosphatidylinositol 3-kinase, root isoform [Fragaria vesca subsp. vesca]
TRINITY_DN10158_c0_g1_i10	PREDICTED: uncharacterized protein LOC101303560 [Fragaria vesca subsp. vesca]
TRINITY_DN10159_c0_g1_i1	PREDICTED: uncharacterized protein LOC105349508 [Fragaria vesca subsp. vesca]
TRINITY_DN1015_c0_g1_i8	PREDICTED: probable carotenoid cleavage dioxygenase 4, chloroplastic [Fragaria vesca subsp. vesca]
TRINITY_DN10160_c0_g1_i6	PREDICTED: eukaryotic translation initiation factor 2A [Fragaria vesca subsp. vesca]
TRINITY_DN10161_c0_g1_i1	PREDICTED: lactosylceramide 4-alpha-galactosyltransferase [Fragaria vesca subsp. vesca]
TRINITY_DN10162_c0_g1_i1	PREDICTED: RING finger and transmembrane domain-containing protein 2 [Fragaria vesca subsp. vesca]
TRINITY_DN10163_c0_g1_i3	PREDICTED: vignain [Fragaria vesca subsp. vesca]
TRINITY_DN10164_c0_g1_i10	PREDICTED: transmembrane protein 87B-like [Fragaria vesca subsp. vesca]
TRINITY_DN10165_c0_g1_i4	PREDICTED: oligoribonuclease [Fragaria vesca subsp. vesca]
TRINITY_DN10166_c0_g1_i1	PREDICTED: uncharacterized protein LOC101302043 [Fragaria vesca subsp. vesca]
TRINITY_DN10167_c0_g2_i5	PREDICTED: transcription factor bHLH48 [Fragaria vesca subsp. vesca]
TRINITY_DN10170_c0_g1_i1	PREDICTED: probable trans-2-enoyl-CoA reductase, mitochondrial [Fragaria vesca subsp. vesca]
TRINITY_DN10173_c0_g3_i2	PREDICTED: outer envelope pore protein 16-4, chloroplastic [Fragaria vesca subsp. vesca]
TRINITY_DN10174_c0_g1_i4	PREDICTED: uncharacterized protein LOC101294908 [Fragaria vesca subsp. vesca]
TRINITY_DN10175_c0_g1_i2	PREDICTED: E2F-associated phosphoprotein [Fragaria vesca subsp. vesca]
TRINITY_DN10175_c1_g1_i2	PREDICTED: E2F-associated phosphoprotein [Fragaria vesca subsp. vesca]
TRINITY_DN10176_c0_g1_i1	PREDICTED: reticulon-like protein B22 [Fragaria vesca subsp. vesca]
TRINITY_DN10177_c0_g1_i3	PREDICTED: uncharacterized protein LOC101301096 [Fragaria vesca subsp. vesca]
TRINITY_DN10177_c0_g2_i3	PREDICTED: uncharacterized protein LOC101301096 [Fragaria vesca subsp. vesca]
TRINITY_DN1017_c0_g1_i16	PREDICTED: UDP-glycosyltransferase 89A2-like [Fragaria vesca subsp. vesca]
TRINITY_DN10180_c0_g1_i3	PREDICTED: extradiol ring-cleavage dioxygenase [Fragaria vesca subsp. vesca]
TRINITY_DN10181_c0_g1_i5	PREDICTED: nuclear inhibitor of protein phosphatase 1 [Fragaria vesca subsp. vesca]
TRINITY_DN10182_c0_g1_i10	PREDICTED: U11/U12 small nuclear ribonucleoprotein 65 kDa protein [Fragaria vesca subsp. vesca]
TRINITY_DN10183_c0_g1_i3	PREDICTED: myosin heavy chain kinase B [Fragaria vesca subsp. vesca]
TRINITY_DN10184_c0_g1_i13	PREDICTED: 60S ribosomal protein L7-1 [Fragaria vesca subsp. vesca]
TRINITY_DN10185_c0_g1_i1	PREDICTED: uncharacterized protein LOC101296959 [Fragaria vesca subsp. vesca]
TRINITY_DN10186_c0_g1_i5	PREDICTED: protein RCC2 homolog [Fragaria vesca subsp. vesca]
TRINITY_DN10188_c0_g1_i4	PREDICTED: DEAD-box ATP-dependent RNA helicase 17 [Fragaria vesca subsp. vesca]
TRINITY_DN10189_c0_g1_i2	PREDICTED: uncharacterized protein LOC101300989 [Fragaria vesca subsp. vesca]
TRINITY_DN1018_c0_g4_i1	PREDICTED: protein starmaker isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN1018_c5_g1_i1	PREDICTED: uncharacterized protein LOC105351502 [Fragaria vesca subsp. vesca]
TRINITY_DN1018_c5_g2_i1	Enzymatic polyprotein [Cajanus cajan]
TRINITY_DN10190_c0_g1_i5	PREDICTED: glycine-rich RNA-binding protein 4, mitochondrial-like [Fragaria vesca subsp. vesca]
TRINITY_DN10191_c0_g1_i2	PREDICTED: F-box protein SKIP5 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN10192_c0_g1_i3	putative methyltransferase C9orf114 homolog [Rosa chinensis]
TRINITY_DN10193_c0_g1_i5	PREDICTED: pentatricopeptide repeat-containing protein At1g08070-like [Fragaria vesca subsp. vesca]
TRINITY_DN10194_c0_g1_i3	PREDICTED: uncharacterized protein LOC101307300 isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN10194_c1_g1_i3	PREDICTED: shikimate O-hydroxycinnamoyltransferase [Fragaria vesca subsp. vesca]
TRINITY_DN10194_c1_g2_i1	PREDICTED: shikimate O-hydroxycinnamoyltransferase-like [Fragaria vesca subsp. vesca]
TRINITY_DN10195_c0_g1_i14	PREDICTED: high mobility group B protein 1-like [Fragaria vesca subsp. vesca]
TRINITY_DN10196_c0_g1_i4	PREDICTED: fructose-bisphosphate aldolase, cytoplasmic isozyme 1 [Fragaria vesca subsp. vesca]
TRINITY_DN10197_c0_g1_i10	PREDICTED: phytosulfokine receptor 1 [Fragaria vesca subsp. vesca]
TRINITY_DN10198_c0_g1_i3	PREDICTED: ER membrane protein complex subunit 7 homolog [Fragaria vesca subsp. vesca]
TRINITY_DN1019_c0_g1_i2	PREDICTED: probable xyloglucan glycosyltransferase 5 [Fragaria vesca subsp. vesca]
TRINITY_DN1019_c0_g2_i2	PREDICTED: probable xyloglucan glycosyltransferase 5 [Fragaria vesca subsp. vesca]
TRINITY_DN101_c0_g2_i1	PREDICTED: protein MEI2-like 4 isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN101_c0_g3_i1	PREDICTED: protein MEI2-like 5 [Fragaria vesca subsp. vesca]
TRINITY_DN10200_c0_g1_i3	PREDICTED: subtilisin-like protease SBT5.3 [Fragaria vesca subsp. vesca]
TRINITY_DN10202_c0_g1_i1	PREDICTED: protein transport protein Sec24-like At4g32640 isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN10203_c0_g1_i1	PREDICTED: B3 domain-containing transcription factor NGA1-like [Fragaria vesca subsp. vesca]
TRINITY_DN10203_c0_g2_i3	PREDICTED: B3 domain-containing transcription factor NGA1-like [Fragaria vesca subsp. vesca]
TRINITY_DN10204_c0_g1_i2	PREDICTED: receptor-like cytosolic serine/threonine-protein kinase RBK2 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN10204_c0_g2_i2	PREDICTED: uncharacterized protein LOC101304101 [Fragaria vesca subsp. vesca]
TRINITY_DN10204_c1_g1_i2	PREDICTED: putative ER lumen protein-retaining receptor C28H8.4 [Fragaria vesca subsp. vesca]
TRINITY_DN10206_c0_g1_i1	unnamed protein product, partial [Vitis vinifera]
TRINITY_DN10207_c0_g1_i5	PREDICTED: agamous-like MADS-box protein AGL14 isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN10207_c1_g1_i3	PREDICTED: uncharacterized protein LOC101303907 [Fragaria vesca subsp. vesca]
TRINITY_DN10208_c0_g1_i2	PREDICTED: uncharacterized protein LOC101309846 [Fragaria vesca subsp. vesca]
TRINITY_DN10209_c0_g1_i4	PREDICTED: mitochondrial-processing peptidase subunit alpha-like [Fragaria vesca subsp. vesca]
TRINITY_DN1020_c0_g1_i2	PREDICTED: E3 ubiquitin-protein ligase RHA1B [Fragaria vesca subsp. vesca]
TRINITY_DN10210_c0_g1_i2	PREDICTED: ATP-dependent Clp protease proteolytic subunit-related protein 1, chloroplastic [Fragaria vesca subsp. vesca]
TRINITY_DN10212_c0_g1_i9	PREDICTED: F-box protein GID2 [Fragaria vesca subsp. vesca]
TRINITY_DN10214_c0_g1_i6	PREDICTED: UNC93-like protein 3 [Fragaria vesca subsp. vesca]
TRINITY_DN10214_c1_g1_i5	putative protein-serine/threonine phosphatase [Rosa chinensis]
TRINITY_DN10216_c0_g1_i5	PREDICTED: syntaxin-22-like [Fragaria vesca subsp. vesca]
