qseqid	stitle
TRINITY_DN10664_c0_g1_i4	PREDICTED: probable WRKY transcription factor 3 [Fragaria vesca subsp. vesca]
TRINITY_DN1067_c0_g1_i5	PREDICTED: transcription initiation factor TFIID subunit 8 [Fragaria vesca subsp. vesca]
TRINITY_DN10681_c0_g1_i2	transcription factor AP218 [Fragaria x ananassa]
TRINITY_DN10683_c0_g2_i3	TPA_exp: transcription factor MYB30 [Fragaria x ananassa]
TRINITY_DN10811_c0_g1_i12	PREDICTED: probable transcription factor GLK2 [Fragaria vesca subsp. vesca]
TRINITY_DN10847_c0_g1_i1	putative transcription factor C2H2 family [Rosa chinensis]
TRINITY_DN10847_c0_g2_i1	putative transcription factor C2H2 family [Rosa chinensis]
TRINITY_DN1085_c0_g2_i1	transcription factor AP25 [Fragaria x ananassa]
TRINITY_DN10980_c0_g1_i4	PREDICTED: transcription factor bHLH13-like [Fragaria vesca subsp. vesca]
TRINITY_DN11017_c0_g1_i9	PREDICTED: transcription factor bHLH130-like [Fragaria vesca subsp. vesca]
TRINITY_DN11048_c0_g1_i5	PREDICTED: transcription factor bHLH126 [Fragaria vesca subsp. vesca]
TRINITY_DN11062_c0_g1_i1	PREDICTED: trihelix transcription factor ASIL2-like [Fragaria vesca subsp. vesca]
TRINITY_DN1106_c2_g1_i2	PREDICTED: transcription factor WER-like [Fragaria vesca subsp. vesca]
TRINITY_DN1107_c0_g1_i7	PREDICTED: probable WRKY transcription factor 15 [Fragaria vesca subsp. vesca]
TRINITY_DN1109_c0_g1_i5	PREDICTED: transcription factor RF2a-like [Fragaria vesca subsp. vesca]
TRINITY_DN11155_c0_g1_i1	PREDICTED: transcription factor RF2b-like [Fragaria vesca subsp. vesca]
TRINITY_DN11157_c0_g1_i1	PREDICTED: RNA polymerase II transcriptional coactivator KELP [Fragaria vesca subsp. vesca]
TRINITY_DN1116_c0_g1_i1	PREDICTED: general transcription factor IIH subunit 2 [Fragaria vesca subsp. vesca]
TRINITY_DN11198_c0_g2_i1	PREDICTED: mediator of RNA polymerase II transcription subunit 33B [Fragaria vesca subsp. vesca]
TRINITY_DN11218_c0_g1_i2	PREDICTED: transcription factor DIVARICATA [Fragaria vesca subsp. vesca]
TRINITY_DN11280_c0_g1_i1	PREDICTED: mediator of RNA polymerase II transcription subunit 33A-like [Fragaria vesca subsp. vesca]
TRINITY_DN11286_c0_g1_i3	PREDICTED: heat stress transcription factor C-1 [Fragaria vesca subsp. vesca]
TRINITY_DN11292_c0_g1_i7	PREDICTED: transcriptional adapter ADA2 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN11322_c0_g1_i7	PREDICTED: nuclear transcription factor Y subunit A-3 [Fragaria vesca subsp. vesca]
TRINITY_DN11329_c0_g1_i4	PREDICTED: probable transcription factor KAN2 [Fragaria vesca subsp. vesca]
TRINITY_DN11391_c0_g1_i4	PREDICTED: ethylene-responsive transcription factor TINY [Fragaria vesca subsp. vesca]
TRINITY_DN11431_c0_g1_i2	PREDICTED: trihelix transcription factor GTL2 [Fragaria vesca subsp. vesca]
TRINITY_DN11465_c0_g1_i5	putative MYB-CC type transcription factor, LHEQLE-containing domain-containing protein [Rosa chinensis]
TRINITY_DN11482_c0_g1_i6	PREDICTED: transcription initiation factor TFIID subunit 2 [Fragaria vesca subsp. vesca]
TRINITY_DN11559_c0_g1_i7	PREDICTED: transcription factor GTE10-like, partial [Fragaria vesca subsp. vesca]
TRINITY_DN11561_c0_g1_i1	transcription initiation factor TFIID subunit 14b [Rosa chinensis]
TRINITY_DN11577_c0_g1_i5	putative WRKY transcription factor 61 [Prunus yedoensis var. nudiflora]
TRINITY_DN11583_c0_g2_i1	putative transcription elongation factor SPT5 homolog 1 [Rosa chinensis]
TRINITY_DN11599_c0_g1_i11	PREDICTED: transcription factor bHLH57-like [Fragaria vesca subsp. vesca]
TRINITY_DN11724_c0_g1_i11	transcription factor ERF73 [Fragaria x ananassa]
TRINITY_DN11737_c0_g1_i1	PREDICTED: transcriptional corepressor LEUNIG-like [Fragaria vesca subsp. vesca]
TRINITY_DN1178_c0_g1_i6	transcription factor ERF32 [Fragaria x ananassa]
TRINITY_DN1181_c1_g1_i1	putative WRKY transcription factor 61 [Prunus yedoensis var. nudiflora]
TRINITY_DN12008_c0_g2_i1	PREDICTED: transcription factor ILR3-like [Fragaria vesca subsp. vesca]
TRINITY_DN12021_c0_g1_i5	PREDICTED: probable transcription factor KAN4 [Fragaria vesca subsp. vesca]
TRINITY_DN12021_c0_g2_i1	PREDICTED: probable transcription factor KAN4 [Fragaria vesca subsp. vesca]
TRINITY_DN12023_c0_g1_i1	transcription factor ERF46 [Fragaria x ananassa]
TRINITY_DN12027_c0_g1_i1	PREDICTED: nuclear transcription factor Y subunit C-9 [Fragaria vesca subsp. vesca]
TRINITY_DN12027_c1_g1_i2	PREDICTED: nuclear transcription factor Y subunit C-9 [Fragaria vesca subsp. vesca]
TRINITY_DN1204_c0_g2_i1	putative transcription factor B3-Domain family [Rosa chinensis]
TRINITY_DN12060_c0_g1_i5	PREDICTED: transcription factor bHLH155-like [Fragaria vesca subsp. vesca]
TRINITY_DN12082_c0_g1_i2	PREDICTED: B3 domain-containing transcription factor NGA1 [Fragaria vesca subsp. vesca]
TRINITY_DN12082_c1_g1_i8	PREDICTED: B3 domain-containing transcription factor NGA1 [Fragaria vesca subsp. vesca]
TRINITY_DN12083_c0_g1_i4	PREDICTED: heat stress transcription factor A-1 isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN12094_c0_g1_i8	PREDICTED: AP2/ERF and B3 domain-containing transcription repressor TEM1-like [Fragaria vesca subsp. vesca]
TRINITY_DN12110_c0_g1_i2	transcription termination factor MTERF15, mitochondrial-like isoform X1 [Rosa chinensis]
TRINITY_DN12149_c0_g1_i2	PREDICTED: trihelix transcription factor GT-1-like [Fragaria vesca subsp. vesca]
TRINITY_DN12214_c0_g1_i12	PREDICTED: nuclear transcription factor Y subunit A-7 [Fragaria vesca subsp. vesca]
TRINITY_DN1223_c0_g1_i5	PREDICTED: transcriptional corepressor SEUSS [Fragaria vesca subsp. vesca]
TRINITY_DN12241_c0_g1_i1	transcriptional activator Myb [Fragaria vesca]
TRINITY_DN12266_c0_g1_i4	PREDICTED: transcription factor bHLH106-like [Fragaria vesca subsp. vesca]
TRINITY_DN12311_c0_g1_i4	transcription factor tau subunit sfc4-like [Rosa chinensis]
TRINITY_DN12332_c1_g1_i2	PREDICTED: nuclear transcription factor Y subunit A-3-like isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN12341_c0_g1_i5	PREDICTED: transcription factor Pur-alpha 1 isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN12341_c0_g2_i2	PREDICTED: transcription factor Pur-alpha 1 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN12361_c0_g2_i1	mediator of RNA polymerase II transcription subunit 21-like [Rosa chinensis]
TRINITY_DN12428_c0_g1_i2	PREDICTED: mediator of RNA polymerase II transcription subunit 21-like isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN12465_c0_g1_i1	PREDICTED: transcription factor TCP15-like [Fragaria vesca subsp. vesca]
TRINITY_DN12481_c0_g1_i2	transcription factor bHLH68-like isoform X2 [Rosa chinensis]
TRINITY_DN12481_c0_g2_i7	transcription factor bHLH68-like isoform X5 [Rosa chinensis]
TRINITY_DN12532_c0_g1_i9	PREDICTED: GATA transcription factor 5-like [Fragaria vesca subsp. vesca]
TRINITY_DN12597_c0_g1_i3	PREDICTED: transcriptional adapter ADA2 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN12597_c0_g2_i1	PREDICTED: transcriptional adapter ADA2 isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN12719_c0_g1_i4	transcription factor tau subunit sfc4-like [Rosa chinensis]
TRINITY_DN12752_c0_g1_i5	putative transcription factor C2H2 family [Rosa chinensis]
TRINITY_DN12791_c0_g1_i2	PREDICTED: transcription initiation factor TFIID subunit 13 [Fragaria vesca subsp. vesca]
TRINITY_DN12791_c0_g2_i1	PREDICTED: transcription initiation factor TFIID subunit 13 [Fragaria vesca subsp. vesca]
TRINITY_DN12811_c0_g1_i14	PREDICTED: transcription factor bHLH143-like [Fragaria vesca subsp. vesca]
TRINITY_DN12868_c0_g1_i1	transcription factor bHLH150 [Rosa chinensis]
TRINITY_DN12924_c0_g1_i5	PREDICTED: probable WRKY transcription factor 40 [Fragaria vesca subsp. vesca]
TRINITY_DN12925_c0_g1_i3	PREDICTED: transcription factor bHLH79 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN1293_c0_g1_i5	PREDICTED: mediator of RNA polymerase II transcription subunit 15a-like isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN12975_c0_g1_i1	PREDICTED: transcription factor MYB86 [Fragaria vesca subsp. vesca]
TRINITY_DN13003_c0_g1_i14	PREDICTED: transcription factor MYB12-like [Fragaria vesca subsp. vesca]
TRINITY_DN13007_c0_g1_i1	PREDICTED: trihelix transcription factor ASIL2-like [Fragaria vesca subsp. vesca]
TRINITY_DN13038_c0_g1_i1	PREDICTED: transcription factor GTE9 [Fragaria vesca subsp. vesca]
TRINITY_DN1310_c1_g1_i4	PREDICTED: general transcription factor 3C polypeptide 3-like [Fragaria vesca subsp. vesca]
TRINITY_DN13203_c0_g1_i5	PREDICTED: transcription elongation factor spt5 isoform X4 [Fragaria vesca subsp. vesca]
TRINITY_DN13208_c0_g1_i8	PREDICTED: transcriptional corepressor LEUNIG-like isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN13218_c1_g2_i1	PREDICTED: transcription factor TFIIIB component B''-like [Fragaria vesca subsp. vesca]
TRINITY_DN13218_c2_g1_i8	PREDICTED: transcription factor TFIIIB component B'' homolog [Fragaria vesca subsp. vesca]
TRINITY_DN13223_c0_g1_i4	WRKY transcription factor 51 [Fragaria vesca]
TRINITY_DN1329_c0_g1_i2	PREDICTED: heat stress transcription factor C-1 [Fragaria vesca subsp. vesca]
TRINITY_DN13326_c0_g1_i3	transcription factor ERF18 [Fragaria x ananassa]
TRINITY_DN13357_c0_g1_i3	PREDICTED: general transcription factor IIF subunit 2 [Fragaria vesca subsp. vesca]
TRINITY_DN13357_c0_g2_i1	PREDICTED: general transcription factor IIF subunit 2 [Fragaria vesca subsp. vesca]
TRINITY_DN13367_c0_g1_i1	PREDICTED: myb family transcription factor APL isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN1336_c0_g1_i1	PREDICTED: probable WRKY transcription factor 70 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN13375_c0_g1_i3	PREDICTED: transcription factor bHLH63 [Fragaria vesca subsp. vesca]
TRINITY_DN13436_c0_g1_i1	transcription factor ERF76 [Fragaria x ananassa]
TRINITY_DN13461_c0_g1_i4	PREDICTED: LOW QUALITY PROTEIN: general transcription factor IIH subunit 4 [Fragaria vesca subsp. vesca]
TRINITY_DN13464_c0_g1_i4	PREDICTED: transcription factor TCP4-like [Fragaria vesca subsp. vesca]
TRINITY_DN13477_c0_g1_i2	PREDICTED: mediator of RNA polymerase II transcription subunit 25 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN1357_c0_g1_i6	PREDICTED: ethylene-responsive transcription factor RAP2-4 [Fragaria vesca subsp. vesca]
TRINITY_DN13580_c0_g1_i7	PREDICTED: probable WRKY transcription factor 48 [Fragaria vesca subsp. vesca]
TRINITY_DN13580_c0_g2_i1	nuclear transcription factor Y subunit C-2 isoform X1 [Rosa chinensis]
TRINITY_DN13608_c0_g1_i3	PREDICTED: probable NOT transcription complex subunit VIP2 [Fragaria vesca subsp. vesca]
TRINITY_DN13709_c0_g1_i11	PREDICTED: B3 domain-containing transcription factor VRN1 [Fragaria vesca subsp. vesca]
TRINITY_DN13713_c0_g1_i2	PREDICTED: trihelix transcription factor GTL2 [Fragaria vesca subsp. vesca]
TRINITY_DN13722_c0_g1_i4	PREDICTED: transcription factor GTE1-like [Fragaria vesca subsp. vesca]
TRINITY_DN13723_c0_g1_i1	PREDICTED: ethylene-responsive transcription factor RAP2-10 [Fragaria vesca subsp. vesca]
TRINITY_DN13723_c0_g2_i2	PREDICTED: ethylene-responsive transcription factor RAP2-10 [Fragaria vesca subsp. vesca]
TRINITY_DN13797_c0_g1_i2	PREDICTED: probable transcription factor KAN2 [Fragaria vesca subsp. vesca]
TRINITY_DN13804_c0_g1_i6	PREDICTED: transcription factor MYB1R1 [Fragaria vesca subsp. vesca]
TRINITY_DN13816_c0_g1_i1	PREDICTED: transcription factor LAF1 [Fragaria vesca subsp. vesca]
TRINITY_DN13828_c0_g1_i1	PREDICTED: AP2-like ethylene-responsive transcription factor At1g16060 [Fragaria vesca subsp. vesca]
TRINITY_DN13853_c0_g1_i2	PREDICTED: transcription factor bHLH111 isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN13860_c0_g1_i2	putative transcription factor interactor and regulator CCHC(Zn) family [Rosa chinensis]
TRINITY_DN13882_c0_g1_i6	PREDICTED: GATA transcription factor 1 [Fragaria vesca subsp. vesca]
TRINITY_DN13889_c0_g1_i3	PREDICTED: probable transcriptional regulator SLK2 [Fragaria vesca subsp. vesca]
TRINITY_DN13898_c0_g1_i3	PREDICTED: transcription factor PRE6-like [Fragaria vesca subsp. vesca]
TRINITY_DN138_c1_g1_i1	PREDICTED: transcription factor RAX3 [Fragaria vesca subsp. vesca]
TRINITY_DN13910_c0_g1_i2	PREDICTED: transcriptional regulator DEF1 [Fragaria vesca subsp. vesca]
TRINITY_DN13928_c0_g1_i1	PREDICTED: transcription factor PCF1 [Fragaria vesca subsp. vesca]
TRINITY_DN13928_c0_g2_i2	PREDICTED: transcription factor PCF1 [Fragaria vesca subsp. vesca]
TRINITY_DN13960_c0_g1_i16	PREDICTED: calmodulin-binding transcription activator 5 [Fragaria vesca subsp. vesca]
TRINITY_DN13960_c1_g1_i2	PREDICTED: calmodulin-binding transcription activator 5 [Fragaria vesca subsp. vesca]
TRINITY_DN14009_c0_g1_i2	PREDICTED: general transcription factor IIE subunit 1-like [Fragaria vesca subsp. vesca]
TRINITY_DN14009_c0_g2_i1	PREDICTED: general transcription factor IIE subunit 1-like [Fragaria vesca subsp. vesca]
TRINITY_DN14028_c0_g1_i4	putative MYB-CC type transcription factor, LHEQLE-containing domain-containing protein [Rosa chinensis]
TRINITY_DN1404_c0_g1_i12	PREDICTED: transcription factor bHLH157-like [Fragaria vesca subsp. vesca]
TRINITY_DN14076_c0_g1_i7	PREDICTED: NAC transcription factor 29 [Fragaria vesca subsp. vesca]
TRINITY_DN14124_c0_g1_i7	PREDICTED: GATA transcription factor 26-like isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN14153_c0_g1_i2	heat shock transcription factor protein 2 [Fragaria x ananassa]
TRINITY_DN14239_c0_g1_i2	PREDICTED: transcription factor bHLH155-like [Fragaria vesca subsp. vesca]
TRINITY_DN14249_c0_g1_i12	PREDICTED: putative transcription elongation factor SPT5 homolog 1 [Fragaria vesca subsp. vesca]
TRINITY_DN14335_c2_g1_i2	PREDICTED: B3 domain-containing transcription factor NGA1-like [Fragaria vesca subsp. vesca]
TRINITY_DN14368_c0_g1_i4	PREDICTED: transcription factor bHLH157-like isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN14388_c0_g1_i8	PREDICTED: heat stress transcription factor A-3 [Fragaria vesca subsp. vesca]
TRINITY_DN143_c2_g1_i2	trihelix transcription factor GT-2A [Fragaria x ananassa]
TRINITY_DN14405_c0_g1_i6	PREDICTED: mediator of RNA polymerase II transcription subunit 7a-like [Fragaria vesca subsp. vesca]
TRINITY_DN14419_c0_g1_i10	PREDICTED: mediator of RNA polymerase II transcription subunit 14 isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN14423_c0_g1_i1	transcription factor MYB1 [Fragaria x ananassa]
TRINITY_DN14444_c0_g1_i3	PREDICTED: transcription factor TGA4-like isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN14444_c0_g2_i1	PREDICTED: transcription factor TGA4-like isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN14497_c0_g1_i2	PREDICTED: transcription factor RAX3 [Fragaria vesca subsp. vesca]
TRINITY_DN1449_c0_g1_i6	PREDICTED: transcription factor IIIA-like isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN14548_c0_g1_i6	PREDICTED: transcription factor IIIB 90 kDa subunit-like isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN14674_c0_g1_i5	PREDICTED: transcription factor GTE1-like [Fragaria vesca subsp. vesca]
TRINITY_DN14710_c0_g1_i2	transcription factor ERF16 [Fragaria x ananassa]
TRINITY_DN14722_c0_g1_i8	PREDICTED: nuclear transcription factor Y subunit A-3-like isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN1473_c0_g1_i3	transcription factor ERF10 [Fragaria x ananassa]
TRINITY_DN14745_c1_g1_i9	PREDICTED: putative transcription elongation factor SPT5 homolog 1 [Fragaria vesca subsp. vesca]
TRINITY_DN1474_c0_g1_i6	PREDICTED: transcription factor bHLH128 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN14815_c0_g1_i4	PREDICTED: transcriptional corepressor LEUNIG-like [Fragaria vesca subsp. vesca]
TRINITY_DN1486_c0_g2_i2	PREDICTED: general transcription factor IIH subunit 5 [Fragaria vesca subsp. vesca]
TRINITY_DN14907_c0_g1_i8	transcription factor TGA2.2-like [Rosa chinensis]
TRINITY_DN14961_c0_g1_i8	PREDICTED: probable WRKY transcription factor 25 [Fragaria vesca subsp. vesca]
TRINITY_DN14996_c0_g1_i1	putative transcription factor/ chromatin remodeling BED-type(Zn) family [Rosa chinensis]
TRINITY_DN15017_c1_g1_i2	putative transcription factor C2H2 family [Rosa chinensis]
TRINITY_DN15042_c1_g1_i1	PREDICTED: trihelix transcription factor PTL-like [Fragaria vesca subsp. vesca]
TRINITY_DN1505_c0_g1_i1	transcription factor MYB44-like [Rosa chinensis]
TRINITY_DN15130_c0_g1_i1	PREDICTED: transcriptional corepressor LEUNIG isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN15131_c0_g1_i8	PREDICTED: heat stress transcription factor B-2b [Fragaria vesca subsp. vesca]
TRINITY_DN15145_c0_g1_i3	PREDICTED: transcription and mRNA export factor SUS1 [Fragaria vesca subsp. vesca]
TRINITY_DN1515_c0_g1_i2	PREDICTED: ethylene-responsive transcription factor 12-like [Fragaria vesca subsp. vesca]
TRINITY_DN15303_c0_g1_i2	PREDICTED: activator of basal transcription 1 [Fragaria vesca subsp. vesca]
TRINITY_DN15303_c1_g2_i3	PREDICTED: activator of basal transcription 1 [Fragaria vesca subsp. vesca]
TRINITY_DN15303_c2_g1_i3	PREDICTED: membrane-bound transcription factor site-2 protease isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN15310_c0_g1_i1	PREDICTED: B3 domain-containing transcription factor VRN1 [Fragaria vesca subsp. vesca]
TRINITY_DN15374_c0_g1_i1	PREDICTED: transcription factor bHLH140 [Fragaria vesca subsp. vesca]
TRINITY_DN1541_c0_g1_i1	PREDICTED: trihelix transcription factor ASIL2 [Fragaria vesca subsp. vesca]
TRINITY_DN15424_c0_g1_i11	PREDICTED: myb family transcription factor APL-like [Fragaria vesca subsp. vesca]
TRINITY_DN1548_c0_g1_i3	PREDICTED: probable WRKY transcription factor 40 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN15557_c0_g1_i1	PREDICTED: mediator of RNA polymerase II transcription subunit 15a-like isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN15570_c0_g1_i7	PREDICTED: transcriptional activator DEMETER-like [Fragaria vesca subsp. vesca]
TRINITY_DN15570_c1_g1_i9	PREDICTED: transcriptional activator DEMETER-like [Fragaria vesca subsp. vesca]
TRINITY_DN15576_c0_g1_i1	PREDICTED: transcription factor RADIALIS-like [Fragaria vesca subsp. vesca]
TRINITY_DN15585_c0_g1_i8	PREDICTED: transcription factor TGA7-like isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN15669_c0_g1_i3	putative transcription factor/ chromatin remodeling BED-type(Zn) family [Rosa chinensis]
TRINITY_DN15670_c0_g1_i4	PREDICTED: transcription factor E2FB [Fragaria vesca subsp. vesca]
TRINITY_DN15679_c0_g1_i2	putative transcription factor C2H2 family [Rosa chinensis]
TRINITY_DN15724_c0_g1_i1	PREDICTED: myb family transcription factor APL isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN15735_c0_g1_i8	PREDICTED: trihelix transcription factor GTL1 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN1578_c0_g3_i1	PREDICTED: transcription repressor MYB6 [Fragaria vesca subsp. vesca]
TRINITY_DN15796_c0_g1_i5	PREDICTED: transcription factor TT2-like [Fragaria vesca subsp. vesca]
TRINITY_DN15796_c0_g2_i1	PREDICTED: transcription repressor MYB6-like [Fragaria vesca subsp. vesca]
TRINITY_DN1579_c1_g1_i4	PREDICTED: membrane-bound transcription factor site-1 protease [Fragaria vesca subsp. vesca]
TRINITY_DN157_c0_g1_i4	PREDICTED: transcription initiation factor TFIID subunit 8 [Fragaria vesca subsp. vesca]
TRINITY_DN1581_c1_g2_i1	trihelix transcription factor ASIL2 isoform X1 [Rosa chinensis]
TRINITY_DN15820_c0_g1_i4	PREDICTED: WRKY transcription factor 1 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN15837_c0_g1_i3	PREDICTED: transcription elongation factor SPT4 homolog 2-like [Fragaria vesca subsp. vesca]
TRINITY_DN15850_c0_g1_i1	PREDICTED: transcription factor IBH1-like [Fragaria vesca subsp. vesca]
TRINITY_DN15864_c0_g1_i3	PREDICTED: ethylene-responsive transcription factor ERF023 [Fragaria vesca subsp. vesca]
TRINITY_DN15874_c0_g1_i4	PREDICTED: NAC transcription factor 29 [Fragaria vesca subsp. vesca]
TRINITY_DN15934_c0_g2_i3	transcription factor bHLH82-like [Rosa chinensis]
TRINITY_DN15941_c0_g1_i6	heat shock transcription factor protein 5 [Fragaria x ananassa]
TRINITY_DN16033_c0_g1_i3	probable mediator of RNA polymerase II transcription subunit 36b [Rosa chinensis]
TRINITY_DN16041_c0_g1_i1	PREDICTED: transcription factor bHLH113-like isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN16067_c0_g1_i8	PREDICTED: mediator of RNA polymerase II transcription subunit 25 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN16120_c0_g1_i13	PREDICTED: probable WRKY transcription factor 51 [Fragaria vesca subsp. vesca]
TRINITY_DN1612_c0_g1_i9	PREDICTED: probable RNA polymerase II transcription factor B subunit 1-1 [Fragaria vesca subsp. vesca]
TRINITY_DN16168_c0_g1_i1	PREDICTED: transcription factor MYB44-like [Fragaria vesca subsp. vesca]
TRINITY_DN16197_c0_g1_i1	PREDICTED: general transcription factor IIH subunit 3 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN16197_c0_g2_i1	PREDICTED: general transcription factor IIH subunit 3 isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN16238_c0_g1_i3	PREDICTED: transcription activator GLK1-like isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN1625_c0_g1_i9	PREDICTED: transcription factor MYB1R1 [Fragaria vesca subsp. vesca]
TRINITY_DN16269_c0_g1_i17	PREDICTED: transcriptional corepressor LEUNIG [Fragaria vesca subsp. vesca]
TRINITY_DN16298_c0_g2_i1	putative transcription regulator mTERF family [Rosa chinensis]
TRINITY_DN16309_c0_g1_i3	transcription factor ERF16 [Fragaria x ananassa]
TRINITY_DN16386_c0_g2_i1	transcription factor ERF87 [Fragaria x ananassa]
TRINITY_DN16481_c0_g1_i1	PREDICTED: WRKY transcription factor 1 isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN16495_c0_g1_i5	PREDICTED: mediator of RNA polymerase II transcription subunit 22b-like [Fragaria vesca subsp. vesca]
TRINITY_DN16495_c1_g1_i4	PREDICTED: mediator of RNA polymerase II transcription subunit 22b-like [Fragaria vesca subsp. vesca]
TRINITY_DN16531_c0_g2_i4	PREDICTED: transcription factor E2FB [Fragaria vesca subsp. vesca]
TRINITY_DN16546_c0_g1_i3	PREDICTED: transcription factor TCP15-like [Fragaria vesca subsp. vesca]
TRINITY_DN16566_c0_g1_i2	PREDICTED: MYB-like transcription factor ETC3 [Fragaria vesca subsp. vesca]
TRINITY_DN16568_c0_g1_i1	PREDICTED: WRKY transcription factor 22 [Fragaria vesca subsp. vesca]
TRINITY_DN16596_c0_g1_i7	transcription factor MYC2-like isoform X2 [Rosa chinensis]
TRINITY_DN16625_c0_g1_i2	PREDICTED: probable WRKY transcription factor 3 [Fragaria vesca subsp. vesca]
TRINITY_DN16658_c0_g1_i11	PREDICTED: transcription factor TGA7-like isoform X1 [Fragaria vesca subsp. vesca]
