GO_ID	GO_Tier2_ID	GO_Tier1_ID	Tier_Level
GO:0007318_pole plasm protein localization	GO:0022414_reproductive process	biological_process	Tier3
GO:0007340_acrosome reaction	GO:0022414_reproductive process	biological_process	Tier3
GO:0007343_egg activation	GO:0022414_reproductive process	biological_process	Tier3
GO:0007344_pronuclear fusion	GO:0022414_reproductive process	biological_process	Tier3
GO:0007389_pattern specification process	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0007534_gene conversion at mating-type locus	GO:0022414_reproductive process	biological_process	Tier3
GO:0007543_sex determination_somatic-gonadal interaction	GO:0022414_reproductive process	biological_process	Tier3
GO:0007566_embryo implantation	GO:0022414_reproductive process	biological_process	Tier3
GO:0007568_aging	GO:0032502_developmental process	biological_process	Tier3
GO:0007571_age-dependent general metabolic decline	GO:0032502_developmental process	biological_process	Tier3
GO:0007585_respiratory gaseous exchange by respiratory system	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0007586_digestion	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0007611_learning or memory	GO:0007610_behavior	biological_process	Tier3
GO:0007622_rhythmic behavior	GO:0007610_behavior	biological_process	Tier3
GO:0007622_rhythmic behavior	GO:0048511_rhythmic process	biological_process	Tier3
GO:0007623_circadian rhythm	GO:0048511_rhythmic process	biological_process	Tier3
GO:0007624_ultradian rhythm	GO:0048511_rhythmic process	biological_process	Tier3
GO:0007625_grooming behavior	GO:0007610_behavior	biological_process	Tier3
GO:0007626_locomotory behavior	GO:0007610_behavior	biological_process	Tier3
GO:0007631_feeding behavior	GO:0007610_behavior	biological_process	Tier3
GO:0007632_visual behavior	GO:0007610_behavior	biological_process	Tier3
GO:0007632_visual behavior	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0007635_chemosensory behavior	GO:0007610_behavior	biological_process	Tier3
GO:0007638_mechanosensory behavior	GO:0007610_behavior	biological_process	Tier3
GO:0008037_cell recognition	GO:0009987_cellular process	biological_process	Tier3
GO:0008219_cell death	GO:0009987_cellular process	biological_process	Tier3
GO:0008283_cell population proliferation	GO:0009987_cellular process	biological_process	Tier3
GO:0008340_determination of adult lifespan	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0009056_catabolic process	GO:0008152_metabolic process	biological_process	Tier3
GO:0009058_biosynthetic process	GO:0008152_metabolic process	biological_process	Tier3
GO:0009405_pathogenesis	GO:0044419_interspecies interaction between organisms	biological_process	Tier3
GO:0009407_toxin catabolic process	GO:0098754_detoxification	biological_process	Tier3
GO:0009561_megagametogenesis	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0009566_fertilization	GO:0022414_reproductive process	biological_process	Tier3
GO:0009605_response to external stimulus	GO:0050896_response to stimulus	biological_process	Tier3
GO:0009607_response to biotic stimulus	GO:0050896_response to stimulus	biological_process	Tier3
GO:0009628_response to abiotic stimulus	GO:0050896_response to stimulus	biological_process	Tier3
GO:0009653_anatomical structure morphogenesis	GO:0032502_developmental process	biological_process	Tier3
GO:0009719_response to endogenous stimulus	GO:0050896_response to stimulus	biological_process	Tier3
GO:0009791_post-embryonic development	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0009838_abscission	GO:0032502_developmental process	biological_process	Tier3
GO:0009845_seed germination	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0009846_pollen germination	GO:0022414_reproductive process	biological_process	Tier3
GO:0009846_pollen germination	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0009847_spore germination	GO:0032502_developmental process	biological_process	Tier3
GO:0009856_pollination	GO:0022414_reproductive process	biological_process	Tier3
GO:0009859_pollen hydration	GO:0022414_reproductive process	biological_process	Tier3
GO:0009865_pollen tube adhesion	GO:0022414_reproductive process	biological_process	Tier3
GO:0009865_pollen tube adhesion	GO:0051703_intraspecies interaction between organisms	biological_process	Tier3
GO:0009875_pollen-pistil interaction	GO:0022414_reproductive process	biological_process	Tier3
GO:0009876_pollen adhesion	GO:0022414_reproductive process	biological_process	Tier3
GO:0010014_meristem initiation	GO:0032502_developmental process	biological_process	Tier3
GO:0010022_meristem determinacy	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0010069_zygote asymmetric cytokinesis in embryo sac	GO:0022414_reproductive process	biological_process	Tier3
GO:0010073_meristem maintenance	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0010118_stomatal movement	GO:0009987_cellular process	biological_process	Tier3
GO:0010127_mycothiol-dependent detoxification	GO:0098754_detoxification	biological_process	Tier3
GO:0010162_seed dormancy process	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0010183_pollen tube guidance	GO:0022414_reproductive process	biological_process	Tier3
GO:0010312_detoxification of zinc ion	GO:0098754_detoxification	biological_process	Tier3
GO:0010344_seed oilbody biogenesis	GO:0022414_reproductive process	biological_process	Tier3
GO:0010483_pollen tube reception	GO:0022414_reproductive process	biological_process	Tier3
GO:0010483_pollen tube reception	GO:0051703_intraspecies interaction between organisms	biological_process	Tier3
GO:0010496_intercellular transport	GO:0009987_cellular process	biological_process	Tier3
GO:0010588_cotyledon vascular tissue pattern formation	GO:0022414_reproductive process	biological_process	Tier3
GO:0010708_heteroduplex formation involved in gene conversion at mating-type locus	GO:0022414_reproductive process	biological_process	Tier3
GO:0014823_response to activity	GO:0050896_response to stimulus	biological_process	Tier3
GO:0014854_response to inactivity	GO:0050896_response to stimulus	biological_process	Tier3
GO:0014874_response to stimulus involved in regulation of muscle adaptation	GO:0050896_response to stimulus	biological_process	Tier3
GO:0016037_light absorption	GO:0009987_cellular process	biological_process	Tier3
GO:0016049_cell growth	GO:0009987_cellular process	biological_process	Tier3
GO:0016049_cell growth	GO:0040007_growth	biological_process	Tier3
GO:0016192_vesicle-mediated transport	GO:0009987_cellular process	biological_process	Tier3
GO:0016203_muscle attachment	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0016458_gene silencing	GO:0009987_cellular process	biological_process	Tier3
GO:0018933_nicotine metabolic process	GO:0008152_metabolic process	biological_process	Tier3
GO:0018985_pronuclear envelope synthesis	GO:0022414_reproductive process	biological_process	Tier3
GO:0019098_reproductive behavior	GO:0007610_behavior	biological_process	Tier3
GO:0019674_NAD metabolic process	GO:0008152_metabolic process	biological_process	Tier3
GO:0019676_ammonia assimilation cycle	GO:0019740_nitrogen utilization	biological_process	Tier3
GO:0019725_cellular homeostasis	GO:0009987_cellular process	biological_process	Tier3
GO:0019748_secondary metabolic process	GO:0008152_metabolic process	biological_process	Tier3
GO:0019827_stem cell population maintenance	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0019835_cytolysis	GO:0009987_cellular process	biological_process	Tier3
GO:0019882_antigen processing and presentation	GO:0002376_immune system process	biological_process	Tier3
GO:0019953_sexual reproduction	GO:0000003_reproduction	biological_process	Tier3
GO:0019954_asexual reproduction	GO:0000003_reproduction	biological_process	Tier3
GO:0021700_developmental maturation	GO:0032502_developmental process	biological_process	Tier3
GO:0021807_motogenic signaling initiating cell movement in cerebral cortex	GO:0023052_signaling	biological_process	Tier3
GO:0021837_motogenic signaling involved in postnatal olfactory bulb interneuron migration	GO:0023052_signaling	biological_process	Tier3
GO:0021838_motogenic signaling involved in interneuron migration from the subpallium to the cortex	GO:0023052_signaling	biological_process	Tier3
GO:0022004_midbrain-hindbrain boundary maturation during brain development	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0022005_midbrain-hindbrain boundary maturation during neural plate development	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0022402_cell cycle process	GO:0009987_cellular process	biological_process	Tier3
GO:0022403_cell cycle phase	GO:0044848_biological phase	biological_process	Tier3
GO:0022404_molting cycle process	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0022406_membrane docking	GO:0009987_cellular process	biological_process	Tier3
GO:0022412_cellular process involved in reproduction in multicellular organism	GO:0009987_cellular process	biological_process	Tier3
GO:0022412_cellular process involved in reproduction in multicellular organism	GO:0022414_reproductive process	biological_process	Tier3
GO:0022413_reproductive process in single-celled organism	GO:0022414_reproductive process	biological_process	Tier3
GO:0022601_menstrual cycle phase	GO:0044848_biological phase	biological_process	Tier3
GO:0022602_ovulation cycle process	GO:0022414_reproductive process	biological_process	Tier3
GO:0022602_ovulation cycle process	GO:0048511_rhythmic process	biological_process	Tier3
GO:0022608_multicellular organism adhesion	GO:0022610_biological adhesion	biological_process	Tier3
GO:0022608_multicellular organism adhesion	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0022611_dormancy process	GO:0032502_developmental process	biological_process	Tier3
GO:0030029_actin filament-based process	GO:0009987_cellular process	biological_process	Tier3
GO:0030431_sleep	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0030447_filamentous growth	GO:0040007_growth	biological_process	Tier3
GO:0030534_adult behavior	GO:0007610_behavior	biological_process	Tier3
GO:0030534_adult behavior	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0030537_larval behavior	GO:0007610_behavior	biological_process	Tier3
GO:0030537_larval behavior	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0030588_pseudocleavage	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0030709_border follicle cell delamination	GO:0022414_reproductive process	biological_process	Tier3
GO:0031128_developmental induction	GO:0032502_developmental process	biological_process	Tier3
GO:0031214_biomineral tissue development	GO:0110148_biomineralization	biological_process	Tier3
GO:0031292_gene conversion at mating-type locus_DNA double-strand break processing	GO:0022414_reproductive process	biological_process	Tier3
GO:0031294_lymphocyte costimulation	GO:0002376_immune system process	biological_process	Tier3
GO:0031424_keratinization	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0031640_killing of cells of other organism	GO:0044419_interspecies interaction between organisms	biological_process	Tier3
GO:0031987_locomotion involved in locomotory behavior	GO:0040011_locomotion	biological_process	Tier3
GO:0032196_transposition	GO:0009987_cellular process	biological_process	Tier3
GO:0032219_cell wall macromolecule catabolic process involved in cytogamy	GO:0022414_reproductive process	biological_process	Tier3
GO:0032220_plasma membrane fusion involved in cytogamy	GO:0022414_reproductive process	biological_process	Tier3
GO:0032259_methylation	GO:0008152_metabolic process	biological_process	Tier3
GO:0032504_multicellular organism reproduction	GO:0000003_reproduction	biological_process	Tier3
GO:0032504_multicellular organism reproduction	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0032505_reproduction of a single-celled organism	GO:0000003_reproduction	biological_process	Tier3
GO:0032537_host-seeking behavior	GO:0007610_behavior	biological_process	Tier3
GO:0032898_neurotrophin production	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0032922_circadian regulation of gene expression	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0032941_secretion by tissue	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0032963_collagen metabolic process	GO:0008152_metabolic process	biological_process	Tier3
GO:0033036_macromolecule localization	GO:0051179_localization	biological_process	Tier3
GO:0033058_directional locomotion	GO:0040011_locomotion	biological_process	Tier3
GO:0033059_cellular pigmentation	GO:0009987_cellular process	biological_process	Tier3
GO:0033059_cellular pigmentation	GO:0043473_pigmentation	biological_process	Tier3
GO:0033060_ocellus pigmentation	GO:0043473_pigmentation	biological_process	Tier3
GO:0033555_multicellular organismal response to stress	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0034337_RNA folding	GO:0009987_cellular process	biological_process	Tier3
GO:0034381_plasma lipoprotein particle clearance	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0034624_DNA recombinase assembly involved in gene conversion at mating-type locus	GO:0022414_reproductive process	biological_process	Tier3
GO:0034636_strand invasion involved in gene conversion at mating-type locus	GO:0022414_reproductive process	biological_process	Tier3
GO:0035036_sperm-egg recognition	GO:0022414_reproductive process	biological_process	Tier3
GO:0035037_sperm entry	GO:0022414_reproductive process	biological_process	Tier3
GO:0035038_female pronucleus assembly	GO:0022414_reproductive process	biological_process	Tier3
GO:0035039_male pronucleus assembly	GO:0022414_reproductive process	biological_process	Tier3
GO:0035040_sperm nuclear envelope removal	GO:0022414_reproductive process	biological_process	Tier3
GO:0035041_sperm chromatin decondensation	GO:0022414_reproductive process	biological_process	Tier3
GO:0035042_fertilization_exchange of chromosomal proteins	GO:0022414_reproductive process	biological_process	Tier3
GO:0035044_sperm aster formation	GO:0022414_reproductive process	biological_process	Tier3
GO:0035046_pronuclear migration	GO:0022414_reproductive process	biological_process	Tier3
GO:0035073_pupariation	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0035074_pupation	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0035172_hemocyte proliferation	GO:0002376_immune system process	biological_process	Tier3
GO:0035176_social behavior	GO:0007610_behavior	biological_process	Tier3
GO:0035176_social behavior	GO:0051703_intraspecies interaction between organisms	biological_process	Tier3
GO:0035187_hatching behavior	GO:0007610_behavior	biological_process	Tier3
GO:0035187_hatching behavior	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0035212_cell competition in a multicellular organism	GO:0009987_cellular process	biological_process	Tier3
GO:0035264_multicellular organism growth	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0035265_organ growth	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0035314_scab formation	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0035426_extracellular matrix-cell signaling	GO:0023052_signaling	biological_process	Tier3
GO:0035471_luteinizing hormone signaling pathway involved in ovarian follicle development	GO:0022414_reproductive process	biological_process	Tier3
GO:0035637_multicellular organismal signaling	GO:0023052_signaling	biological_process	Tier3
GO:0035637_multicellular organismal signaling	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0035640_exploration behavior	GO:0007610_behavior	biological_process	Tier3
GO:0035732_nitric oxide storage	GO:0051179_localization	biological_process	Tier3
GO:0035737_injection of substance in to other organism	GO:0051704_multi-organism process	biological_process	Tier3
GO:0035821_modulation of process of other organism	GO:0044419_interspecies interaction between organisms	biological_process	Tier3
GO:0035889_otolith tethering	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0036166_phenotypic switching	GO:0009987_cellular process	biological_process	Tier3
GO:0036214_contractile ring localization	GO:0051179_localization	biological_process	Tier3
GO:0036268_swimming	GO:0040011_locomotion	biological_process	Tier3
GO:0036281_coflocculation	GO:0044419_interspecies interaction between organisms	biological_process	Tier3
GO:0036363_transforming growth factor beta activation	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0040040_thermosensory behavior	GO:0007610_behavior	biological_process	Tier3
GO:0042221_response to chemical	GO:0050896_response to stimulus	biological_process	Tier3
GO:0042303_molting cycle	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0042330_taxis	GO:0040011_locomotion	biological_process	Tier3
GO:0042386_hemocyte differentiation	GO:0002376_immune system process	biological_process	Tier3
GO:0042440_pigment metabolic process	GO:0008152_metabolic process	biological_process	Tier3
GO:0042445_hormone metabolic process	GO:0008152_metabolic process	biological_process	Tier3
GO:0042628_mating plug formation	GO:0022414_reproductive process	biological_process	Tier3
GO:0042630_behavioral response to water deprivation	GO:0007610_behavior	biological_process	Tier3
GO:0042698_ovulation cycle	GO:0048511_rhythmic process	biological_process	Tier3
GO:0042702_uterine wall growth	GO:0040007_growth	biological_process	Tier3
GO:0043093_FtsZ-dependent cytokinesis	GO:0022414_reproductive process	biological_process	Tier3
GO:0043335_protein unfolding	GO:0009987_cellular process	biological_process	Tier3
GO:0043476_pigment accumulation	GO:0043473_pigmentation	biological_process	Tier3
GO:0043480_pigment accumulation in tissues	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0043500_muscle adaptation	GO:0050896_response to stimulus	biological_process	Tier3
GO:0043696_dedifferentiation	GO:0032502_developmental process	biological_process	Tier3
GO:0043934_sporulation	GO:0032502_developmental process	biological_process	Tier3
GO:0044010_single-species biofilm formation	GO:0051703_intraspecies interaction between organisms	biological_process	Tier3
GO:0044033_multi-organism metabolic process	GO:0008152_metabolic process	biological_process	Tier3
GO:0044033_multi-organism metabolic process	GO:0051704_multi-organism process	biological_process	Tier3
GO:0044110_growth involved in symbiotic interaction	GO:0040007_growth	biological_process	Tier3
GO:0044110_growth involved in symbiotic interaction	GO:0044419_interspecies interaction between organisms	biological_process	Tier3
GO:0044111_development involved in symbiotic interaction	GO:0032502_developmental process	biological_process	Tier3
GO:0044111_development involved in symbiotic interaction	GO:0051704_multi-organism process	biological_process	Tier3
GO:0044237_cellular metabolic process	GO:0008152_metabolic process	biological_process	Tier3
GO:0044237_cellular metabolic process	GO:0009987_cellular process	biological_process	Tier3
GO:0044238_primary metabolic process	GO:0008152_metabolic process	biological_process	Tier3
GO:0044281_small molecule metabolic process	GO:0008152_metabolic process	biological_process	Tier3
GO:0044403_symbiotic process	GO:0044419_interspecies interaction between organisms	biological_process	Tier3
GO:0044406_adhesion of symbiont to host	GO:0022610_biological adhesion	biological_process	Tier3
GO:0044663_establishment or maintenance of cell type involved in phenotypic switching	GO:0009987_cellular process	biological_process	Tier3
GO:0044703_multi-organism reproductive process	GO:0022414_reproductive process	biological_process	Tier3
GO:0044703_multi-organism reproductive process	GO:0051704_multi-organism process	biological_process	Tier3
GO:0044706_multi-multicellular organism process	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0044706_multi-multicellular organism process	GO:0051704_multi-organism process	biological_process	Tier3
GO:0044764_multi-organism cellular process	GO:0009987_cellular process	biological_process	Tier3
GO:0044764_multi-organism cellular process	GO:0051704_multi-organism process	biological_process	Tier3
GO:0044851_hair cycle phase	GO:0044848_biological phase	biological_process	Tier3
GO:0045058_T cell selection	GO:0002376_immune system process	biological_process	Tier3
GO:0045103_intermediate filament-based process	GO:0009987_cellular process	biological_process	Tier3
GO:0045321_leukocyte activation	GO:0002376_immune system process	biological_process	Tier3
GO:0045494_photoreceptor cell maintenance	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0045729_respiratory burst at fertilization	GO:0022414_reproductive process	biological_process	Tier3
GO:0045730_respiratory burst	GO:0008152_metabolic process	biological_process	Tier3
GO:0046034_ATP metabolic process	GO:0008152_metabolic process	biological_process	Tier3
GO:0046595_establishment of pole plasm mRNA localization	GO:0022414_reproductive process	biological_process	Tier3
GO:0048066_developmental pigmentation	GO:0043473_pigmentation	biological_process	Tier3
GO:0048266_behavioral response to pain	GO:0007610_behavior	biological_process	Tier3
GO:0048359_mucilage metabolic process involved in seed coat development	GO:0022414_reproductive process	biological_process	Tier3
GO:0048497_maintenance of floral organ identity	GO:0022414_reproductive process	biological_process	Tier3
GO:0048532_anatomical structure arrangement	GO:0032502_developmental process	biological_process	Tier3
GO:0048544_recognition of pollen	GO:0022414_reproductive process	biological_process	Tier3
GO:0048573_photoperiodism_flowering	GO:0022414_reproductive process	biological_process	Tier3
GO:0048589_developmental growth	GO:0032502_developmental process	biological_process	Tier3
GO:0048589_developmental growth	GO:0040007_growth	biological_process	Tier3
GO:0048609_multicellular organismal reproductive process	GO:0022414_reproductive process	biological_process	Tier3
GO:0048646_anatomical structure formation involved in morphogenesis	GO:0032502_developmental process	biological_process	Tier3
GO:0048647_polyphenic determination	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0048771_tissue remodeling	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0048856_anatomical structure development	GO:0032502_developmental process	biological_process	Tier3
GO:0048869_cellular developmental process	GO:0009987_cellular process	biological_process	Tier3
GO:0048869_cellular developmental process	GO:0032502_developmental process	biological_process	Tier3
GO:0048870_cell motility	GO:0040011_locomotion	biological_process	Tier3
GO:0048871_multicellular organismal homeostasis	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0050789_regulation of biological process	GO:0065007_biological regulation	biological_process	Tier3
GO:0050817_coagulation	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0050879_multicellular organismal movement	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0050900_leukocyte migration	GO:0002376_immune system process	biological_process	Tier3
GO:0051037_regulation of transcription involved in meiotic cell cycle	GO:0022414_reproductive process	biological_process	Tier3
GO:0051189_prosthetic group metabolic process	GO:0008152_metabolic process	biological_process	Tier3
GO:0051234_establishment of localization	GO:0051179_localization	biological_process	Tier3
GO:0051235_maintenance of location	GO:0051179_localization	biological_process	Tier3
GO:0051301_cell division	GO:0009987_cellular process	biological_process	Tier3
GO:0051321_meiotic cell cycle	GO:0022414_reproductive process	biological_process	Tier3
GO:0051410_detoxification of nitrogen compound	GO:0098754_detoxification	biological_process	Tier3
GO:0051606_detection of stimulus	GO:0050896_response to stimulus	biological_process	Tier3
GO:0051641_cellular localization	GO:0009987_cellular process	biological_process	Tier3
GO:0051641_cellular localization	GO:0051179_localization	biological_process	Tier3
GO:0051651_maintenance of location in cell	GO:0009987_cellular process	biological_process	Tier3
GO:0051674_localization of cell	GO:0009987_cellular process	biological_process	Tier3
GO:0051674_localization of cell	GO:0051179_localization	biological_process	Tier3
GO:0051702_interaction with symbiont	GO:0044419_interspecies interaction between organisms	biological_process	Tier3
GO:0051707_response to other organism	GO:0044419_interspecies interaction between organisms	biological_process	Tier3
GO:0051716_cellular response to stimulus	GO:0009987_cellular process	biological_process	Tier3
GO:0051716_cellular response to stimulus	GO:0050896_response to stimulus	biological_process	Tier3
GO:0051775_response to redox state	GO:0050896_response to stimulus	biological_process	Tier3
GO:0051780_behavioral response to nutrient	GO:0007610_behavior	biological_process	Tier3
GO:0051867_general adaptation syndrome_behavioral process	GO:0007610_behavior	biological_process	Tier3
GO:0052214_metabolism of substance in other organism involved in symbiotic interaction	GO:0044419_interspecies interaction between organisms	biological_process	Tier3
GO:0055046_microgametogenesis	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0055085_transmembrane transport	GO:0009987_cellular process	biological_process	Tier3
GO:0055114_oxidation-reduction process	GO:0008152_metabolic process	biological_process	Tier3
GO:0055127_vibrational conductance of sound to the inner ear	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0060011_Sertoli cell proliferation	GO:0022414_reproductive process	biological_process	Tier3
GO:0060033_anatomical structure regression	GO:0032502_developmental process	biological_process	Tier3
GO:0060206_estrous cycle phase	GO:0044848_biological phase	biological_process	Tier3
GO:0060273_crying behavior	GO:0007610_behavior	biological_process	Tier3
GO:0060352_cell adhesion molecule production	GO:0009987_cellular process	biological_process	Tier3
GO:0060361_flight	GO:0040011_locomotion	biological_process	Tier3
GO:0060384_innervation	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0060466_activation of meiosis involved in egg activation	GO:0022414_reproductive process	biological_process	Tier3
GO:0060468_prevention of polyspermy	GO:0022414_reproductive process	biological_process	Tier3
GO:0060469_positive regulation of transcription involved in egg activation	GO:0022414_reproductive process	biological_process	Tier3
